feature,rank,osm_h3_cell_id,osm_h3_cell_id_hex,lat,lon,state_fips,tract_geoid,value,p99,p999,value_over_p99,neighbor_cells_present,neighbor_median,value_over_neighbor_median
osm_road_length_density_m_per_km2,25,617685291667292159,892758008cfffff,43.07351780605959,-89.39029729303017,55,55025001704,116761.36819908794,33240.511739722875,58012.53916842319,3.512622462414033,6,81632.0703501874,1.4303369704847857
osm_building_density_per_km2,1,617733347126018047,892a134d15bffff,39.91719115841524,-75.16124198395372,42,42101004104,8041.804753981271,709.6614638710591,1737.787236617882,11.331888743281704,6,7126.2557150726525,1.1284754681160476
osm_building_density_per_km2,2,617733347163504639,892a134d397ffff,39.917032869736694,-75.16544280122184,42,42101004002,7802.17953995437,709.6614638710591,1737.787236617882,10.99422744106051,6,5952.212872833547,1.3108031763387096
osm_building_density_per_km2,3,617733347145940991,892a134d28bffff,39.93444986980589,-75.18972508371688,42,42101003300,7732.30383867623,709.6614638710591,1737.787236617882,10.89576401189672,6,4244.515861369247,1.821716325541507
osm_building_density_per_km2,4,617733345963409407,892a1348c0fffff,40.000682847556554,-75.17079514081092,42,42101017202,7664.988504579903,709.6614638710591,1737.787236617882,10.80090845396754,6,4282.144673458917,1.789988215972274
osm_building_density_per_km2,5,617733347147513855,892a134d2a3ffff,39.92684931520723,-75.18291759350986,42,42101003701,7647.247623813815,709.6614638710591,1737.787236617882,10.77590937811338,6,6387.408805818196,1.197237855959376
osm_building_density_per_km2,6,617733347114483711,892a134d0abffff,39.92780062039868,-75.15770729955729,42,42101002801,7637.667003866231,709.6614638710591,1737.787236617882,10.762409110118941,6,6329.584808126332,1.2066616113683315
osm_building_density_per_km2,7,617733345970225151,892a1348c77ffff,39.997988068965,-75.1727315934476,42,42101017202,7636.6713521258325,709.6614638710591,1737.787236617882,10.761006114759764,6,5325.712770525741,1.4339247498268592
osm_building_density_per_km2,8,617733346455453695,892a134a963ffff,40.00003844084205,-75.11802602559848,42,42101019200,7617.543608515778,709.6614638710591,1737.787236617882,10.734052779142925,6,3818.2892909485918,1.9950147901505189
osm_building_density_per_km2,9,617733347105570815,892a134d023ffff,39.92241662514923,-75.1615754868191,42,42101004101,7590.530705382152,709.6614638710591,1737.787236617882,10.69598828711559,6,7039.633487985084,1.0782565197942924
osm_building_density_per_km2,10,617733347148824575,892a134d2b7ffff,39.927008245219305,-75.17871592621597,42,42101003701,7589.749737939786,709.6614638710591,1737.787236617882,10.69488780825049,6,7158.326613927173,1.0602687118485543
osm_building_density_per_km2,11,617733347108454399,892a134d04fffff,39.92970066845842,-75.17678271292044,42,42101003100,7541.447646850135,709.6614638710591,1737.787236617882,10.626824240551361,6,7311.467067594134,1.0314547787919774
osm_building_density_per_km2,12,617733347106357247,892a134d02fffff,39.91972471745352,-75.1635092531116,42,42101004103,7456.737291286641,709.6614638710591,1737.787236617882,10.507456964919095,6,7394.24309024388,1.008451737423296
osm_building_density_per_km2,13,617733347107667967,892a134d043ffff,39.93239315169225,-75.17484928140348,42,42101003100,7397.330211535425,709.6614638710591,1737.787236617882,10.423745106835154,6,7143.2228288598635,1.0355732123669619
osm_building_density_per_km2,14,617733347107143679,892a134d03bffff,39.924950353927215,-75.16384302469291,42,42101004001,7388.886992292506,709.6614638710591,1737.787236617882,10.411847575867553,6,6545.55870898008,1.1288397707220064
osm_building_density_per_km2,15,617733345916485631,892a1348943ffff,39.96898603302606,-75.17719665083472,42,42101013601,7372.870308868167,709.6614638710591,1737.787236617882,10.389278105437285,6,2944.442848759312,2.5039950467963212
osm_building_density_per_km2,16,617733347107930111,892a134d047ffff,39.9298593797112,-75.17258078463557,42,42101003001,7321.049871398577,709.6614638710591,1737.787236617882,10.316256756374704,6,6832.350421757294,1.071527281165943
osm_building_density_per_km2,17,617733347148562431,892a134d2b3ffff,39.92954180552982,-75.18098462181788,42,42101003701,7301.8842637896905,709.6614638710591,1737.787236617882,10.289250065741763,6,7340.031335030044,0.9948028735165887
osm_building_density_per_km2,18,617733347110551551,892a134d06fffff,39.92194125220288,-75.17417927170563,42,42101003901,7216.753336755842,709.6614638710591,1737.787236617882,10.169290153349905,6,5865.107942422337,1.2304553313600677
osm_building_density_per_km2,19,617733347163242495,892a134d393ffff,39.919566344299206,-75.16771029256243,42,42101004002,7197.9554751056085,709.6614638710591,1737.787236617882,10.142801661854687,6,6833.566202813875,1.0533234421789444
osm_building_density_per_km2,20,617733347108716543,892a134d053ffff,39.93508569490113,-75.17291563163255,42,42101002200,7147.8306345097735,709.6614638710591,1737.787236617882,10.072169616650465,6,5298.470095878174,1.3490367040233497
