nibrs_code,offence_code,crimename1,crimename2,crimename3,source_file_uri
290,2901,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - BUSINESS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
220,2202,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
11A,1114,Crime Against Person,Forcible Rape,SEX ASSAULT - SODOMY-GIRL-STRONG-ARM,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
11D,1117,Crime Against Person,Forcible Fondling,SEX ASSAULT - CARNAL ABUSE,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
11A,9003,Crime Against Person,Forcible Rape,SEX ASSAULT - WITH AN OBJECT,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90G,4199,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26A,2699,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
270,2703,Crime Against Property,Embezzlement,EMBEZZLE - BANKING-TYPE INST,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
220,2202,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23C,2303,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
220,2205,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - NO FORCED ENTRY-NONRESIDENTIAL,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90G,4199,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
250,2504,Crime Against Property,Counterfeiting/Forgery,FORGERY - PASS FORGED,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9042,Crime Against Society,All Other Offenses,SUICIDE - ATTEMPT,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9199,Crime Against Society,All Other Offenses,POLICE INFORMATION,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,5309,Crime Against Society,All Other Offenses,PUBLIC PEACE - HARASSING COMMUNICATION,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90G,4199,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
35A,3562,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23C,2303,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23H,2399,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9101,Crime Against Society,All Other Offenses,SUDDEN DEATH,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
220,2202,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90G,4104,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23C,2303,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
35A,3562,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90D,5404,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90G,4104,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
