nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
," -77.0808)""",,,,451
," -77.124)""",,,,450
35A,3542,Crime Against Society,Drug/Narcotic Violations,DRUGS - SYNTHETIC NARCOTIC - POSSESS,445
," -77.2285)""",,,,445
," -77.0947)""",,,,443
90Z,4802,Crime Against Society,All Other Offenses,OBSTRUCT POLICE - OBSTRUCT CRIMINAL INVEST,442
," -77.2083)""",,,,440
," -77.1103)""",,,,436
," -77.1532)""",,,,435
13A,1304,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - NON-FAMILY-GUN,433
," -77.233)""",,,,433
," -77.2055)""",,,,431
," -76.9968)""",,,,427
," -76.9473)""",,,,426
," -77.0513)""",,,,425
," -77.1921)""",,,,423
," -77.2457)""",,,,423
," -77.0287)""",,,,422
," -77.0523)""",,,,422
," -77.1519)""",,,,421
," -77.2561)""",,,,419
," -77.001)""",,,,419
90Z,2606,Crime Against Society,All Other Offenses,FRAUD - INSUFFICIENT FUNDS CHECK,419
," -77.2711)""",,,,418
," -77.2175)""",,,,417
," -77.153)""",,,,417
," -77.1169)""",,,,416
," -76.9957)""",,,,415
," -76.9764)""",,,,414
," -77.0517)""",,,,414
," -77.1953)""",,,,414
," -77.2137)""",,,,413
," -77.171)""",,,,412
," -77.193)""",,,,412
," -76.9851)""",,,,412
," -76.9761)""",,,,411
," -77.1446)""",,,,411
," -77.1116)""",,,,410
90Z,9053,Crime Against Society,All Other Offenses,LITTERING/TRASH DUMPING,408
," -77.1489)""",,,,408
," -77.0261)""",,,,407
," -77.0074)""",,,,405
," -77.0621)""",,,,401
," -77.2254)""",,,,400
," -77.0872)""",,,,399
," -77.1533)""",,,,398
," -77.053)""",,,,397
," -77.2643)""",,,,396
," -76.9919)""",,,,396
," -77.0289)""",,,,394
," -76.9806)""",,,,394
," -77.0279)""",,,,394
," -77.1027)""",,,,392
," -77.2635)""",,,,392
," -77.1226)""",,,,392
," -77.2647)""",,,,390
," -77.0483)""",,,,389
," -77.0569)""",,,,388
," -76.9897)""",,,,386
," -77.1439)""",,,,386
," -77.0482)""",,,,383
," -77.0931)""",,,,382
," -77.0419)""",,,,382
," -77.0719)""",,,,381
," -77.2015)""",,,,381
," -77.069)""",,,,381
," -77.0992)""",,,,379
11A,1114,Crime Against Person,Forcible Rape,SEX ASSAULT - SODOMY-GIRL-STRONG-ARM,377
," -77.1143)""",,,,376
," -77.036)""",,,,375
," -77.206)""",,,,374
