offense_desc,offense,nature_of_call,geocodescore,source_file_uri
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info 26F Identity Th,26F,FRAUD,98,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items 2,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,240,AUTO THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 31.03(e)(2)(A)  Theft Property >=$100<$750,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.21(C) Forgery,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 42.07(C) Harassment 90Z ALL OTHER OFFENSES 1316,90Z,HARASS,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.21 Forgery,26A,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.21 Forgery,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 22.012(b) INDECENT ASSAULT,13B,ASSAULT C,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.45(C)(5) 2015 Misapp Fiduc/Fin Prop>=$30K<$1,270,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.315(e)(1) Fraud Poss/Use credit or Debit Car,26B,IDENTITY THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 38.02 Failure to Identify,90Z,PENALCODE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 31.03- AUTO PARTS/ACCE Theft- Auto parts/access,23G,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 30.04 Burglary of Vehicle,23F,BURG VEHIC,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2008/00000000.parquet
PC 32.21(D) Forgery Financial Instrument 250 FORGE,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 31.03(E)(5)  2015 Theft>=$30k<$150k,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.31 Credit/Debit Card Abuse,26B,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 38.02 Failure to Identify,90Z,PENALCODE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 30.02(C)(2) Burglary Habitation,220,BURGLARY RESIDENTIAL,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
