offense,source_file_uri
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00020.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00032.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00033.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00009.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00033.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00033.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2025/part-00017.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00025.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00026.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00003.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00016.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00030.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00006.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00021.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00024.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00026.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00003.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00003.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00029.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00017.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00030.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00031.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00008.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00021.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00023.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00026.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00026.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00026.parquet
MOTOR VEHICLE THEFT,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00002.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00027.parquet
BURGLARY,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00004.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00016.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00030.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00016.parquet
BURGLARY,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2025/part-00014.parquet
