description,row_count
AGG PRO.EMP: HANDGUN,180
AGGRAVATED: KNIFE/CUT INSTR,176
AGG PRO EMP HANDS SERIOUS INJ,173
BOARD PLANE WITH WEAPON,172
"THEFT/RECOVERY: TRUCK,BUS,MHOME",172
AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,170
MANU/DELIVER: HALLUCINOGEN,167
CHILD ABDUCTION / STRANGER,164
INDECENT SOLICITATION OF A CHILD,162
GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION,161
INSTITUTIONAL VANDALISM,159
POSSESSION OF BURGLARY TOOLS,155
FALSE FIRE ALARM,154
INDECENT SOLICITATION/CHILD,154
VIO BAIL BOND: DOM VIOLENCE,145
SELL / GIVE / DELIVER LIQUOR TO MINOR,142
WIC FRAUD,141
ESCAPE,140
TIRE DEFLATION DEVICE DEPLOYMENT,140
INTERFERENCE JUDICIAL PROCESS,137
OTHER PROSTITUTION OFFENSE,137
UNLAWFUL VISITATION INTERFERENCE,136
VIOLATION OF BAIL BOND - DOMESTIC VIOLENCE,133
FROM COIN-OP MACHINE/DEVICE,133
AGGRAVATED COMPUTER TAMPERING,132
FINANCIAL ID THEFT:$300 &UNDER,131
AGG PO HANDS ETC SERIOUS INJ,125
UNLAWFUL USE OF RECORDED SOUND,119
"THEFT / RECOVERY - TRUCK, BUS, MOBILE HOME",119
AGGRAVATED DOMESTIC BATTERY - HANDGUN,118
VIOLENT OFFENDER: DUTY TO REGISTER,117
MANU/DELIVER:BARBITUATES,115
VIOLENT OFFENDER - DUTY TO REGISTER,115
LICENSED PREMISE,112
POSSESSION: SYNTHETIC MARIJUANA,108
MANUFACTURE / DELIVER - SYNTHETIC DRUGS,108
INSURANCE FRAUD,101
ATTEMPT ARMED - OTHER FIREARM,100
"ATTEMPT - TRUCK, BUS, MOTOR HOME",98
MANUFACTURE / DELIVER - HALLUCINOGEN,98
UNLAWFUL USE / SALE OF AIR RIFLE,97
OBSCENITY,96
"THEFT / RECOVERY - CYCLE, SCOOTER, BIKE WITH VIN",93
PUBLIC DEMONSTRATION,93
POS: HYPODERMIC NEEDLE,92
ALTER / FORGE PRESCRIPTION,91
PAY TV SERVICE OFFENSES,89
SALE/DIST OBSCENE MAT TO MINOR,89
COMMERCIAL SEX ACTS,87
AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,86
"THEFT BY LESSEE, NON-MOTOR VEHICLE",85
EAVESDROPPING,80
CONTRIBUTE DELINQUENCY OF A CHILD,78
INTOXICATING COMPOUNDS,71
RECKLESS HOMICIDE,70
"THEFT BY LESSEE,NON-VEH",70
BY EXPLOSIVE,69
ATTEMPT AGGRAVATED - OTHER,68
SALE / DISTRIBUTE OBSCENE MATERIAL TO MINOR,67
ATTEMPT AGG: OTHER,67
MANUFACTURE / DELIVER - PCP,66
MANUFACTURE / DELIVER - HEROIN (TAN / BROWN TAR),66
ABUSE / NEGLECT - CARE FACILITY,66
FROM COIN-OPERATED MACHINE OR DEVICE,65
CANNABIS PLANT,62
ATTEMPT: ARMED-OTHER FIREARM,62
POSS: HEROIN(BLACK TAR),62
HARBOR RUNAWAY,62
ABUSE/NEGLECT: CARE FACILITY,61
VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS,59
SEX OFFENDER: PROHIBITED ZONE,57
AGGRAVATED DOMESTIC BATTERY: HANDGUN,56
CONTRIBUTE CRIM DELINQUENCY JUVENILE,55
SOLICITING FOR BUSINESS,54
MANU/DELIVER: METHAMPHETAMINES,54
VIOLENT OFFENDER - FAIL TO REGISTER NEW ADDRESS,53
CONTRIBUTE TO THE DELINQUENCY OF CHILD,51
ATTEMPT FINANCIAL IDENTITY THEFT,51
CRIMINAL TRANSMISSION OF HIV,50
SOLICIT OFF PUBLIC WAY,50
AGGRAVATED PO: KNIFE/CUT INSTR,48
TO FIRE FIGHT.APP.EQUIP,48
INVOLUNTARY SERVITUDE,47
"ATTEMPT - CYCLE, SCOOTER, BIKE WITH VIN",43
ATT AGG CRIMINAL SEXUAL ABUSE,43
POS: PORNOGRAPHIC PRINT,42
AGGRAVATED OF AN UNBORN CHILD,42
OTHER ARSON/EXPLOSIVE INCIDENT,40
SALE / DELIVER - DRUG PARAPHERNALIA,40
UNLAWFUL SALE HANDGUN,40
GAME/AMUSEMENT DEVICE,40
POSSESSION - EXPLOSIVE / INCENDIARY DEVICE,39
ATTEMPT AGGRAVATED - HANDGUN,39
OF UNBORN CHILD,39
MANUFACTURE / DELIVER - METHAMPHETAMINE,39
ATTEMPT AGGRAVATED CRIMINAL SEXUAL ABUSE,37
POSSESS - HEROIN (BLACK TAR),36
"ATT: TRUCK, BUS, MOTOR HOME",34
VIOLATION OF SMOKING BAN,33
MONEY LAUNDERING,33
"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",33
CRIMINAL SEXUAL ABUSE - SEXUAL PENETRATION,32
AGGRAVATED POLICE OFFICER - OTHER FIREARM,30
UNLAWFUL SALE - HANDGUN,30
OTHER ARSON / EXPLOSIVE INCIDENT,30
MANUFACTURE / DELIVER - BARBITURATES,30
POSSESSION OF PORNOGRAPHIC PRINT,29
INDECENT SOLICITATION/ADULT,28
OF AN UNBORN CHILD,28
POST GRAPHIC INFO PORGNOGRAPHIC INTERNET OR POSS GRAPHIC INF,28
MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,28
PUBLIC AID WIRE/MAIL FRAUD - VIA MAIL/PACKAGE/DELIVERY SYS,27
AGGRAVATED PROTECTED EMPLOYEE - OTHER FIREARM,27
ATTEMPT AGG: HANDGUN,26
FORCIBLE DETENTION,26
CONCEALED CARRY LICENSE REVOCATION,26
HAZARDOUS MATERIALS VIOLATION,25
