report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Initial,Threatening School or Public Employee,Intimidation,II,Other Miscellaneous,26210,55
Initial,"Theft, Bicycle, <$50, no serial number",Larceny Theft - Bicycle,II,Larceny Theft,06316,54
Initial Supplement,"Cocaine, Base/rock, Sale",Drug Violation,IS,Drug Offense,16625,54
Initial,"Assault, Mayhem, W/ Force",Aggravated Assault,II,Assault,04064,54
Initial,"Access Card or Signature, Forgery of",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09110,53
Initial Supplement,"Arson, Inhabited Dwelling",Arson,IS,Arson,26036,53
Initial Supplement,"Theft, Grand, of Firearm",Larceny Theft - Other,IS,Larceny Theft,06386,53
Initial,"Firearm, Negligent Discharge",Aggravated Assault,II,Assault,04080,53
Initial,"Phone Calls, Obscene",Sex Offense,II,Sex Offense,14043,53
Initial Supplement,"Robbery, Att., W/ Gun",Robbery - Other,IS,Robbery,03471,53
Initial Supplement,"Theft, From Locked Vehicle, Att.",Larceny - From Vehicle,IS,Larceny Theft,06240,53
Initial Supplement,"Vehicle, Seizure Order Service",,IS,,07060,53
Initial,"Vehicle, Recovered, Motorcycle",Recovered Vehicle,II,Recovered Vehicle,07043,52
Initial,"Methamphetamine, Transportation",Drug Violation,II,Drug Offense,16656,52
Initial,Graffiti on Government Vehicles or Public Transportation,Vandalism,II,Malicious Mischief,28169,52
Initial Supplement,"Malicious Mischief, Tire Slashing",Vandalism,IS,Malicious Mischief,28161,52
Initial,"Dog, Stray or Vicious",Other,II,Non-Criminal,64012,52
Initial Supplement,Marijuana Offense,Drug Violation,IS,Drug Offense,16010,51
Initial,"Civil Sidewalks, Violation",Other,II,Civil Sidewalks,64000,51
Initial,"Weapon, Possess or Bring Other on School Grounds",Weapons Offense,II,Weapons Carrying Etc,12163,51
Initial,"Explosive Device, Located",Weapons Offense,II,Weapons Offense,12006,51
Initial,"Public Nuisance, Maintaining After Notification",Disorderly Conduct,II,Other Miscellaneous,27110,51
Initial Supplement,"Burglary, Warehouse, Forcible Entry",Burglary - Commercial,IS,Burglary,05061,50
Initial Supplement,"Assault, Att. Homicide, W/ Other Weapon",Aggravated Assault,IS,Assault,04023,50
Initial Supplement,State Code Felony (general),Other,IS,Other Miscellaneous,26200,50
Initial,"Theft, Vehicle Strip, <$50",Larceny - Auto Parts,II,Larceny Theft,06231,50
Initial Supplement,"Embezzlement, Grand Theft By Employee",Embezzlement,IS,Embezzlement,10045,49
Initial Supplement,"Marijuana, Possession For Sale",Drug Violation,IS,Drug Offense,16030,49
Initial,"Civil Sidewalks, Booking",Other,II,Civil Sidewalks,64003,48
Initial Supplement,Lodging Without Permission,Loitering,IS,Other Miscellaneous,27199,48
Initial Supplement,"Cocaine, Base/rock Offense",Drug Violation,IS,Drug Offense,16621,48
Initial Supplement,"Vehicle, Stolen, Attempted",Motor Vehicle Theft (Attempted),IS,Motor Vehicle Theft,07051,48
Initial Supplement,"Vehicle, Recovered, Other Vehicle",Recovered Vehicle,IS,Recovered Vehicle,07046,48
Initial,"Fireworks, Possession of any within SF,  incl. ""Safe & Sane""""""",Other,II,Other Miscellaneous,27140,48
Initial,"Cellular or Cordless Phone Communications, Intercepting",Fraud,II,Fraud,09269,48
Initial,"Access Card Counterfeiting Machinery, Possession of",Fraud,II,Fraud,09330,47
Vehicle Supplement,"Vehicle, Seizure Order Service",,VS,,07060,47
Initial,"Burglary, Flat Under Constr., Forcible Entry",Burglary - Residential,II,Burglary,05121,46
Vehicle Initial,"Burglary, Other Bldg., Unlawful Entry",Burglary - Other,VI,Burglary,05073,46
Coplogic Initial,"Access Card Information, Theft of",Fraud,II,Fraud,09164,46
Initial,"Vehicle, Recovered, Truck",Recovered Vehicle,II,Recovered Vehicle,07045,46
Initial Supplement,"Burglary, Apartment House, Att. Forcible Entry",Burglary - Residential,IS,Burglary,05012,46
Initial,"Phone Calls, Harassing, to 911",Other,II,Malicious Mischief,28136,46
Initial,"Privacy, Invasion of  (general)",Fraud,II,Fraud,09267,45
Initial Supplement,"Burglary, Non-residential, Att. Forcible",Burglary - Other,IS,Burglary,05152,45
Initial Supplement,Cocaine Offense,Drug Violation,IS,Drug Offense,16620,45
Initial,"Public Health Order Violation, After Notification",,II,,27401,45
Initial,"Theft, Purse Snatch, >$950",Larceny Theft - Purse Snatch,II,Larceny Theft,06134,45
Initial,"Theft, Trick And Device, Att.",Fraud,II,Fraud,10117,45
Initial Supplement,Suspicious Vehicle,Suspicious Occ,IS,Suspicious Occ,64065,45
Initial Supplement,"Assault, W/ Caustic Chemical to Injure or Disfigure",Aggravated Assault,IS,Assault,04033,45
Initial Supplement,"Theft, Bicycle, $200-$950",Larceny Theft - Bicycle,IS,Larceny Theft,06313,44
Initial Supplement,"Robbery, Chain Store, W/ Other Weapon",Robbery - Commercial,IS,Robbery,03043,44
Initial,"Robbery,  ATM, Force, Att.",Robbery - Other,II,Robbery,03494,44
Initial,False Report of Felony or Misdemeanor,Other,II,Other Miscellaneous,27060,44
Initial,"Burglary, Flat Under Constr., Unlawful Entry",Burglary - Residential,II,Burglary,05123,44
Initial,SFMTA Muni Transit Operator-Bus/LRV,,II,,74020,44
Initial,"Malicious Mischief, Building Under Constr.",Vandalism,II,Malicious Mischief,28120,44
Vehicle Initial,"Burglary, Apartment House, Unlawful Entry",Burglary - Residential,VI,Burglary,05013,43
Initial Supplement,"Cocaine, Possession For Sale",Drug Violation,IS,Drug Offense,16622,43
Initial Supplement,Embezzlement from Dependent or Elder Adult by Caretaker,Larceny Theft - Other,IS,Larceny Theft,06381,43
Initial Supplement,"Theft, From Person, $50-$200 (other than Pickpocket)",Larceny Theft - Other,IS,Larceny Theft,06152,43
Initial,"Fire Protection Equipment, Tampering with",Vandalism,II,Malicious Mischief,28020,43
Initial,"Theft, Drunk Roll, >$950",Larceny Theft - Other,II,Larceny Theft,06124,43
Vehicle Initial,"Vehicle, Misplaced",Vehicle Misplaced,VI,Vehicle Misplaced,07054,43
Initial,Suicide By Firearms,Suicide,II,Suicide,60150,43
Initial Supplement,Theft of Animals (general),Larceny Theft - Other,IS,Larceny Theft,06400,42
Initial Supplement,"Flammable or Explosive Device, Possession",Other,IS,Other Miscellaneous,26028,42
Initial Supplement,"Theft, Pickpocket, >$950",Larceny Theft - Pickpocket,IS,Larceny Theft,06114,42
Initial Supplement,"Checks, Money Orders, Completed, Fraudulent Possession",Fraud,IS,Fraud,09040,42
Initial,Sodomy (Adult Victim),Rape,II,Rape,14072,42
Initial,"Theft of Telecommunication Services, incl. Clone Phone",Larceny Theft - Other,II,Larceny Theft,06398,42
Initial Supplement,"Theft, Pickpocket, $200-$950",Larceny Theft - Pickpocket,IS,Larceny Theft,06113,42
Initial Supplement,"Homicide, W/ Gun",Homicide,IS,Homicide,01001,41
Initial Supplement,"Robbery, Att., Street or Public Place, W/ Gun",Robbery - Street,IS,Robbery,03411,41
Initial,"Suicide By Laceration/Stabbing, Att.",Suicide,II,Suicide,60080,41
Initial,"Suicide By Ingestion, Att.",Suicide,II,Suicide,60060,41
Initial,"Marijuana, Sales",Drug Violation,II,Drug Offense,16040,41
Initial,Suicide By Jumping,Suicide,II,Suicide,60170,41
Initial,Loitering and Peeking into Inhabited Structure,Other Offenses,II,Other Offenses,64040,40
Initial Supplement,"Firearm, Carrying Loaded with Intent to Commit Felony",Weapons Offense,IS,Weapons Carrying Etc,12166,40
Initial Supplement,"Weapon, Assault, Possession, Manufacture, or Sale",Weapons Offense,IS,Weapons Carrying Etc,12171,39
Initial Supplement,False Imprisonment,Kidnapping,IS,Other Miscellaneous,26142,39
Initial Supplement,"Theft, From Unlocked Vehicle, $50-$200",Larceny - From Vehicle,IS,Larceny Theft,06222,39
Initial,"Vehicle, Stolen, Truck",Motor Vehicle Theft,II,Motor Vehicle Theft,07025,39
Initial,"Arson, Portable Toilet",Arson,II,Arson,26037,38
Initial,"Stolen Access Card, Possession",Stolen Property,II,Stolen Property,11013,38
Initial Supplement,Embezzlement (general),Embezzlement,IS,Embezzlement,10090,38
Initial,"Machine Gun or Sawed-off Shotgun, Possession",Weapons Offense,II,Weapons Carrying Etc,12110,38
Initial Supplement,"Phone Calls, Threatening or Annoying",Disorderly Conduct,IS,Disorderly Conduct,19050,38
Initial Supplement,"Driving While Under The Influence Of Drugs, w/Injury",Liquor Law Violation,IS,Other Miscellaneous,65057,38
Initial,"Rape, Assault To, W/ Force",Rape - Attempted,II,Rape,02104,38
Initial Supplement,"Vehicle Registration, False Evidence of",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,07200,38
Initial,Unlawful Assembly,Loitering,II,Disorderly Conduct,19100,38
Initial Supplement,Evading a Police Vehicle or Bicycle,Other,IS,Other Miscellaneous,27177,37
Initial,Firearm Possession in School Zone,Weapons Offense,II,Disorderly Conduct,19083,37
Initial Supplement,"Robbery, Residence, W/ Force",Robbery - Commercial,IS,Robbery,03054,37
Initial Supplement,"Resisting Peace Officer, causing Their Serious Injury or Death",Intimidation,IS,Other Miscellaneous,27172,37
Initial,"Oral Copulation, Unlawful (Adult Victim)",Rape,II,Rape,14052,37
Initial,"Marijuana, Transporting",Drug Violation,II,Drug Offense,16060,37
Vehicle Initial,Investigative Detention,Other,VI,Other Miscellaneous,64085,37
Initial,Gun Violence Restraining Order,,II,,15164,37
Initial,"Trash, Placing On The Street",Other,II,Other Offenses,30150,36
Initial Supplement,"Assault, Non-Aggravated",Simple Assault,IS,Assault,04104,36
Initial Supplement,Opiates Offense,Drug Violation,IS,Drug Offense,16210,36
Initial Supplement,Heroin Offense,Drug Violation,IS,Drug Offense,16100,36
Initial Supplement,"Aided Case, Injured or Sick Person",Other,IS,Non-Criminal,64015,35
Initial Supplement,"Sex Offender, Failure To Register for Sexual Assault of Adult",Sex Offense,IS,Sex Offense,14020,35
Initial Supplement,Sex Offender Petition to Terminate Registration,,IS,,14023,35
Initial,Liquor Law Violation (general),Liquor Law Violation,II,Liquor Laws,17030,35
Initial Supplement,ATM-related Crime (secondary code only),Other,IS,Offences Against The Family And Children,15400,35
Initial,"Auto, Grand Theft of",Motor Vehicle Theft,II,Motor Vehicle Theft?,07027,34
Initial Supplement,"Robbery, Street or Public Place, W/ Other Weapon",Robbery - Street,IS,Robbery,03013,34
Initial,"Robbery, Residence, W/ Other Weapon",Robbery - Commercial,II,Robbery,03053,34
Initial Supplement,"Firearm, Discharging At An Inhabited Dwelling",Aggravated Assault,IS,Assault,12026,34
Initial Supplement,"Robbery, Street or Public Place, W/ Knife",Robbery - Street,IS,Robbery,03012,34
Vehicle Supplement,"Warrant Arrest, Enroute To Outside Jurisdiction",Warrant,VS,Warrant,62050,34
Vehicle Supplement,"Burglary, Hot Prowl, Unlawful Entry",Burglary - Hot Prowl,VS,Burglary,05083,34
Initial,Maintaining A Public Nuisance,Disorderly Conduct,II,Other Miscellaneous,27100,34
Initial,"Arson, Vacant Building",Arson,II,Arson,26035,33
Initial Supplement,"Animal, Cruelty to",Other,IS,Malicious Mischief,28010,33
Initial Supplement,"Access Card, Possession of Lost or Stolen, with Intent to Use, Transfer, or Sell",Fraud,IS,Fraud,09310,33
Initial,"Stolen Electronics, Possession",Stolen Property,II,Stolen Property,11016,33
Initial,"Vehicle, Open Container Of Alcohol In",Liquor Law Violation,II,Other Miscellaneous,65055,33
Initial,Gambling,Gambling,II,Gambling,66010,32
Initial,Suicide,Suicide,II,Suicide,60110,32
Initial Supplement,"Theft, From Unlocked Vehicle, <$50",Larceny - From Vehicle,IS,Larceny Theft,06221,32
Initial Supplement,"Burglary, Other Bldg. Under Constr., Forcible Entry",Burglary - Other,IS,Burglary,05171,32
Initial Supplement,Indecent Exposure (Adult victim),Sex Offense,IS,Sex Offense,14040,32
Initial,"Audiovisual (Video or Sound) Recordings, Unauthorized",Fraud,II,Fraud,09271,32
Initial Supplement,"License Plate, Found",Other Offenses,IS,Other Offenses,71011,32
Initial Supplement,Extortion or Blackmail,Extortion-Blackmail,IS,Other Miscellaneous,26100,32
Initial,"Robbery, Bank, W/ Other Weapon",Robbery - Commercial,II,Robbery,03063,32
Initial,"Firearm, Possession of While Wearing Mask",Weapons Offense,II,Weapons Carrying Etc,12169,32
Initial,"Theft, Bicycle, <$50, serial number known",Larceny Theft - Bicycle,II,Larceny Theft,06315,31
Initial Supplement,"Burglary, Residence Under Constr, Unlawful Entry",Burglary - Residential,IS,Burglary,05143,31
Initial,"Kidnapping, Attempted (Adult victim)",Kidnapping,II,Other Miscellaneous,26143,31
Initial Supplement,"Methamphetamine, Sale",Drug Violation,IS,Drug Offense,16654,31
Vehicle Supplement,Probation Violation,Other,VS,Other Miscellaneous,26170,31
Initial,"Robbery, Bank, W/ Force",Robbery - Commercial,II,Robbery,03064,31
Initial Supplement,"Auto, Grand Theft of",Motor Vehicle Theft,IS,Motor Vehicle Theft?,07027,31
Initial,"Driving While Under The Influence Of Drugs, w/Injury",Liquor Law Violation,II,Other Miscellaneous,65057,31
Vehicle Initial,"Warrant Arrest, Enroute To Outside Jurisdiction",Warrant,VI,Warrant,62050,31
Vehicle Initial,"Burglary, Residence, Unlawful Entry",Burglary - Residential,VI,Burglary,05043,31
Initial Supplement,"Burglary, Flat, Unlawful Entry",Burglary - Residential,IS,Burglary,05023,31
Initial,Other Offenses Against Public Justice,Other,II,Other Miscellaneous,27066,30
Initial,Hallucinogenics Offense,Drug Violation,II,Drug Offense,16410,30
Initial Supplement,Theft of Computers or Cell Phones,Larceny Theft - Other,IS,Larceny Theft,06126,30
Initial,"Stolen Checks, Possession",Stolen Property,II,Stolen Property,11017,30
Initial Supplement,Gun Violence Restraining Order,,IS,,15164,30
Initial Supplement,"Dissuading Witness, Victim",Other,IS,Other Miscellaneous,26063,29
Vehicle Supplement,Investigative Detention,Other,VS,Other Miscellaneous,64085,29
Initial Supplement,"Malicious Mischief, Street Cars/Buses",Vandalism,IS,Malicious Mischief,28140,29
Vehicle Supplement,"Narcotics Paraphernalia, Possession of",Drug Violation,VS,Drug Offense,16710,29
Initial Supplement,Disturbing The Peace,Disorderly Conduct,IS,Disorderly Conduct,19022,29
Vehicle Initial,"Vehicle, Seizure Order Service",,VI,,07060,29
Initial,"Cocaine, Sale",Drug Violation,II,Drug Offense,16624,29
Initial,Sex Offender Petition to Terminate Registration,,II,,14023,29
Initial,Carjacking with a Dangerous Weapon,Robbery - Carjacking,II,Robbery,03083,28
Coplogic Initial,"Theft, Bicycle, $50-$200",Larceny Theft - Bicycle,II,Larceny Theft,06312,28
Initial Supplement,"Arson, Commercial Building",Arson,IS,Arson,26032,28
Initial,"Probation Violation, DVU related",Other,II,Offences Against The Family And Children,15152,28
Initial Supplement,"Theft, From Person, <$50 (other than Pickpocket)",Larceny Theft - Other,IS,Larceny Theft,06151,28
Initial,Littering or Dumping that Creates Traffic Hazard,Other,II,Other Miscellaneous,27040,28
Initial Supplement,Carjacking with a Dangerous Weapon,Robbery - Carjacking,IS,Robbery,03083,27
Initial Supplement,Unusual Occurrence,Suspicious Occ,IS,Other Miscellaneous,64090,27
Initial Supplement,"Embezzlement, Grand Theft",Embezzlement,IS,Embezzlement,10015,27
Initial Supplement,Violation of Emergency Protective Order,Other,IS,Offences Against The Family And Children,15160,27
Initial,"School Campus, Remaining Without Consent",Loitering,II,Disorderly Conduct,19072,27
Initial Supplement,"Warrant Arrest, Enroute To Dept. Of Corrections",Warrant,IS,Warrant,62020,27
Initial Supplement,"Weapon, Carrying Concealed with Felony or Narcotics Conviction",Weapons Offense,IS,Weapons Offense,12010,27
Vehicle Supplement,"Burglary, Apartment House, Unlawful Entry",Burglary - Residential,VS,Burglary,05013,27
Initial,"Food Stamps, Misuse of",Fraud,II,Fraud,09034,27
Initial Supplement,"Robbery, Chain Store, W/ Gun",Robbery - Commercial,IS,Robbery,03041,27
Initial,"Embezzlement, Petty Theft",Embezzlement,II,Embezzlement,10010,26
Initial,"Marijuana, Cultivating/Planting",Drug Violation,II,Drug Offense,16020,26
Initial,"Theft, Purse Snatch, $50-$200",Larceny Theft - Purse Snatch,II,Larceny Theft,06132,26
Vehicle Initial,Found  Property,Non-Criminal,VI,Non-Criminal,72000,26
Vehicle Supplement,"Burglary Tools, Possession Of",Other,VS,Other Miscellaneous,27130,26
Initial Supplement,"Computer System, Accessing, Copying, or Damaging",Fraud,IS,Fraud,09264,26
Initial Supplement,"Marijuana, Cultivating/Planting",Drug Violation,IS,Drug Offense,16020,26
Initial,Fire Code Violation (general),Other,II,Other Offenses,30170,26
Initial,"Cocaine, Transportation",Drug Violation,II,Drug Offense,16626,26
Initial,"Driving, Reckless, with Injury",Other,II,Other Miscellaneous,65014,26
Initial,"Theft, Drunk Roll, $200-$950",Larceny Theft - Other,II,Larceny Theft,06123,26
Initial Supplement,"Burglary, Safe,  Store",Burglary - Commercial,IS,Burglary,05251,26
Initial Supplement,"Identification Card or Drivers License, Falsify or Display",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09120,25
Initial Supplement,Loitering Where Narcotics are Sold/Used,Drug Violation,IS,Drug Offense,16704,25
Initial Supplement,"Theft, Shoplifting, Att.",Larceny Theft - Shoplifting,IS,Larceny Theft,06360,25
Initial,"Destructive Device, Exploding",Weapons Offense,II,Weapons Offense,12025,25
Initial Supplement,"Robbery, Bank, W/ Force",Robbery - Commercial,IS,Robbery,03064,25
Vehicle Initial,Courtesy Report,Courtesy Report,VI,Courtesy Report,68030,25
Vehicle Initial,"Narcotics Paraphernalia, Possession of",Drug Violation,VI,Drug Offense,16710,25
Initial,Obscene Matter (general),Sex Offense,II,Sex Offense,14060,25
Initial,"Controlled Substance, Transportation",Drug Violation,II,Drug Offense,16666,25
Initial Supplement,Parole Search,Other,IS,Warrant,62070,25
Initial Supplement,"Burglary, Flat, Forcible Entry",Burglary - Residential,IS,Burglary,05021,25
Initial Supplement,Human Trafficking (A)-Commercial Sex Acts,"Human Trafficking, Commercial Sex Acts",IS,"Human Trafficking (A), Commercial Sex Acts",13045,25
Initial,Carjacking with a Knife,Robbery - Carjacking,II,Robbery,03082,24
Initial,"Evading a Police Officer, Injury or Death",Other,II,Other Miscellaneous,27176,24
Initial Supplement,"Controlled Substance, Sale",Drug Violation,IS,Drug Offense,16664,24
Vehicle Supplement,"Warrant Arrest, Local SF Warrant",Other,VS,Warrant,63010,24
Initial Supplement,"Burglary, Other Bldg. Under Constr., Unlawful Entry",Burglary - Other,IS,Burglary,05173,24
Initial,"Electrical  or Gas Lines, Interfering with",Vandalism,II,Malicious Mischief,28102,24
Initial,Pandering,Prostitution,II,Prostitution,13020,24
Initial,"Malicious Mischief, Annoying/Fictitious Phone Calls",Vandalism,II,Malicious Mischief,28130,24
Initial,"Weapon, Concealed, Loitering While Carrying",Weapons Offense,II,Weapons Offence,12050,24
Initial,"Assault, Att. Homicide, W/ Force",Aggravated Assault,II,Assault,04024,24
Initial Supplement,Theft from Merchant or Library,Larceny Theft - Other,IS,Larceny Theft,06394,24
Initial Supplement,"Assault, Non-Aggravated, Att.",Simple Assault,IS,Assault,04114,24
Initial Supplement,Suspicious Person,Suspicious Occ,IS,Suspicious Occ,64080,24
Initial,"Stolen Cellular Phone, non-cloned, Possession",Stolen Property,II,Stolen Property,11014,23
Initial,"Permit Violation, Police (general)",Other,II,Other Offenses,30000,23
Initial,"Robbery, Service Station, W/ Force",Robbery - Commercial,II,Robbery,03034,23
Initial Supplement,"Theft, Pickpocket, $50-$200",Larceny Theft - Pickpocket,IS,Larceny Theft,06112,23
Vehicle Supplement,"Burglary, Residence, Unlawful Entry",Burglary - Residential,VS,Burglary,05043,23
Initial,"Opiates, Transportation",Drug Violation,II,Drug Offense,16240,23
Initial,"VIN, Alter Or Remove",Forgery And Counterfeiting,II,Forgery And Counterfeiting,07201,23
Initial Supplement,"Warrant Arrest, Enroute To Probation",Warrant,IS,Warrant,62040,23
Initial,"Sexual Assault, Administering Drug to Commit",Simple Assault,II,Assault,04146,23
Vehicle Supplement,"Vehicle, Embezzled",Embezzlement,VS,Embezzlement,07052,23
Vehicle Initial,Carjacking with a Dangerous Weapon,Robbery - Carjacking,VI,Robbery,03083,23
Initial,"Homicide, W/ Gun",Homicide,II,Homicide,01001,23
Initial Supplement,"Hallucinogenic,  Possession For Sale",Drug Violation,IS,Drug Offense,16420,23
Vehicle Initial,Domestic Violence (secondary only),Other,VI,Offences Against The Family And Children,15200,22
Initial,"Dog, Barking",Other,II,Non-Criminal,64011,22
Initial Supplement,"Vehicle, Embezzled",Embezzlement,IS,Embezzlement,07052,22
Vehicle Initial,"Driving, No License Issued",Other,VI,Other Miscellaneous,65015,22
Initial,"Robbery,  ATM, Gun",Robbery - Other,II,Robbery,03091,22
Initial Supplement,"Counterfeit Coins Or Notes, Possessing or Receiving",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09215,22
Initial,Dissuading/Threatening Of A Witness,Intimidation,II,Other Miscellaneous,26135,22
Initial,Lodging in Park,Loitering,II,Disorderly Conduct,19062,22
Initial Supplement,"Sex Offender Failure to Register, Annual Violation",,IS,,14021,22
Initial Supplement,"Phone Calls, Threatening",Intimidation,IS,Disorderly Conduct,19055,22
Initial,Vandalism with Noxious Chemical,Vandalism,II,Malicious Mischief,28167,22
Initial,"Burglary, Safe,  Residence",Burglary - Residential,II,Burglary,05241,22
Initial,"Robbery, Att., Bank, W/ Force",Robbery - Commercial,II,Robbery,03464,22
Initial Supplement,"Robbery, Att., W/ Knife",Robbery - Other,IS,Robbery,03472,22
Initial,"School, Public, Trespass",Trespass,II,Disorderly Conduct,19082,22
Initial Supplement,"Burglary Tools, Possession Of w/prior",Other,IS,Other Miscellaneous,27131,22
Initial,"Robbery,  ATM, Knife",Robbery - Other,II,Robbery,03092,22
Initial Supplement,"Opiates, Sale",Drug Violation,IS,Drug Offense,16230,21
Initial,Obstructing Public Thoroughfare  (or 647(c) PC),Loitering,II,Disorderly Conduct,19060,21
Initial Supplement,"Evading a Police Officer, Injury or Death",Other,IS,Other Miscellaneous,27176,21
Initial Supplement,"Public Nuisance, Committing",Disorderly Conduct,IS,Disorderly Conduct,19010,21
Initial,"Penetration, Forced, with Object",Rape,II,Rape,02020,21
Initial Supplement,"Robbery, Att., Chain Store, W/ Force",Robbery - Commercial,IS,Robbery,03444,21
Vehicle Initial,"Malicious Mischief, Vandalism to Vehicle",Vandalism,VI,Malicious Mischief,28160,21
Vehicle Initial,"Auto, Grand Theft of",Motor Vehicle Theft,VI,Motor Vehicle Theft?,07027,21
Initial,"School or Playground, Loitering About",Loitering,II,Disorderly Conduct,19077,21
Initial,"Assault, Mayhem, W/ Other Weapon",Aggravated Assault,II,Assault,04063,21
Vehicle Supplement,Methamphetamine Offense,Drug Violation,VS,Drug Offense,16650,21
Coplogic Initial,"Computer System, Accessing, Copying, or Damaging",Fraud,II,Fraud,09264,21
Vehicle Supplement,"Vehicle, Impounded",Vehicle Impounded,VS,Vehicle Impounded,07053,21
Initial,"Suicide By Strangulation/Hanging, Att.",Suicide,II,Suicide,60090,21
Initial,"Robbery, Att., Chain Store, W/ Other Weapon",Robbery - Commercial,II,Robbery,03443,21
Initial,"Alcohol, Unlawful Transportation Of",Liquor Law Violation,II,Liquor Laws,17130,21
Initial,"Robbery, Service Station, W/ Gun",Robbery - Commercial,II,Robbery,03031,21
Initial,"Throwing Object at Common Carrier, Passenger or Freight",Other Offenses,II,Other Offenses,68053,21
Initial Supplement,Municipal Police Code Violation (general),Other,IS,Other Offenses,30190,21
Vehicle Initial,Carjacking with a Knife,Robbery - Carjacking,VI,Robbery,03082,21
Initial,Pimping,"Human Trafficking, Commercial Sex Acts",II,"Human Trafficking, Commercial Sex Acts",13030,21
Vehicle Supplement,"Burglary, Residence, Forcible Entry",Burglary - Residential,VS,Burglary,05041,21
Vehicle Supplement,"Driving, No License Issued",Other,VS,Other Miscellaneous,65015,20
Initial Supplement,Cryptocurrency Related Crime (secondary code only),,IS,,15410,20
Vehicle Initial,"Vehicle, Stolen, Bus",Motor Vehicle Theft,VI,Motor Vehicle Theft,07022,20
Initial Supplement,"Robbery, Chain Store, W/ Knife",Robbery - Commercial,IS,Robbery,03042,20
Initial Supplement,False Report of Felony or Misdemeanor,Other,IS,Other Miscellaneous,27060,20
Vehicle Supplement,"Burglary, Other Bldg., Unlawful Entry",Burglary - Other,VS,Burglary,05073,20
Initial,"Driving, Reckless, Motorcycle Takeover (Dirt Bike, ATV, OHV)",,II,,65022,20
Initial Supplement,"Robbery, Att., Comm. Establ., W/ Force",Robbery - Commercial,IS,Robbery,03424,20
Initial,"Robbery, Att., Bank, W/ Other Weapon",Robbery - Commercial,II,Robbery,03463,20
Vehicle Supplement,"License Plate or Tab, Theft of",Larceny Theft - Other,VS,Larceny Theft,06246,20
Initial,"Weapon, Deadly, Exhibiting to Resist Arrest",Other,II,Other Miscellaneous,27173,20
Initial,"Caustic Chemical, Possession",Weapons Offense,II,Weapons Offense,12055,20
Initial Supplement,"Weapon, Tear Gas, Possession by Prohibited Persons",Weapons Offense,IS,Weapons Carrying Etc,12130,20
Vehicle Supplement,"Burglary, Other Bldg., Forcible Entry",Burglary - Other,VS,Burglary,05071,20
Vehicle Initial,"Burglary, Hot Prowl, Unlawful Entry",Burglary - Hot Prowl,VI,Burglary,05083,20
Initial Supplement,"Explosive Device, Located",Weapons Offense,IS,Weapons Offense,12006,20
Initial,"Robbery, Att., Comm. Establ. With Other Weapon",Robbery - Commercial,II,Robbery,03423,20
Vehicle Supplement,"Vehicle, Recovered, Bus",Recovered Vehicle,VS,Recovered Vehicle,07042,20
Initial,"Animal, without Proper Care or Attention",Other,II,Malicious Mischief,28181,20
Initial Supplement,Homicide,Homicide,IS,Homicide,01000,19
Initial Supplement,"Burglary, Hotel Room, Unlawful Entry",Burglary - Residential,IS,Burglary,05033,19
Initial Supplement,"Robbery, Att., Bank, W/ Force",Robbery - Commercial,IS,Robbery,03464,19
Initial Supplement,"Suspicious Occurrence, possible Shots Fired",Suspicious Occ,IS,Suspicious Occ,64072,19
Initial Supplement,"Destructive Device, Exploding",Weapons Offense,IS,Weapons Offense,12025,19
Initial Supplement,Located Property,Non-Criminal,IS,Non-Criminal,73001,19
Initial Supplement,"License Plate or Tab, Theft of",Larceny Theft - Other,IS,Larceny Theft,06246,19
Initial,Business Inspection- 2805 CVC,,II,,68022,19
Initial,"Burglary, Other Bldg. Under Constr., Att. Forcible",Burglary - Other,II,Burglary,05172,19
Initial Supplement,"Theft, Vehicle Strip, $200-$950",Larceny - Auto Parts,IS,Larceny Theft,06233,18
Initial,"Identification, Government, Possess, Make or Sell False",Fraud,II,Fraud,09166,18
Initial,Methadone Offense,Drug Violation,II,Drug Offense,16630,18
Initial,"Gambling Devices, Possession",Gambling,II,Gambling,66030,18
Initial,Phone Calls in Violation of DVU Court Order,Other,II,Offences Against The Family And Children,15153,18
Initial Supplement,"Robbery,  ATM, Gun",Robbery - Other,IS,Robbery,03091,18
Initial,"Rape, Att., W/ Force",Rape - Attempted,II,Rape,02204,18
Vehicle Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,VI,Larceny Theft,06244,18
Vehicle Supplement,"Theft, Other Property, >$950",Larceny Theft - Other,VS,Larceny Theft,06374,18
Initial,"Burglary, Hotel Under Constr., Unlawful Entry",Burglary - Residential,II,Burglary,05133,18
Vehicle Initial,"Warrant Arrest, Local SF Warrant",Other,VI,Warrant,63010,18
Initial,"Robbery, Bank, W/ Gun",Robbery - Commercial,II,Robbery,03061,18
Initial Supplement,Park Code Violation (general),Other,IS,Other Offenses,30210,18
Vehicle Supplement,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,VS,Larceny Theft,06244,18
Initial Supplement,Kidnapping during Robbery,Kidnapping,IS,Other Miscellaneous,26148,18
