report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Initial,"Robbery, Comml. Establ., W/ Gun",Robbery - Commercial,II,Robbery,03021,109
Initial Supplement,"Forgery, Checks, Felony",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09015,108
Initial,Damage To Mail Box,Vandalism,II,Malicious Mischief,28030,108
Initial Supplement,"Assault, Aggravated, On Police Off., W/ Other Weapon",Aggravated Assault,IS,Assault,04073,107
Initial Supplement,"Phone Calls, Harassing",Other,IS,Malicious Mischief,28135,107
Initial,"Weapon, Assault, Possession, Manufacture, or Sale",Weapons Offense,II,Weapons Carrying Etc,12171,107
Initial,"Burglary, Warehouse, Unlawful Entry",Burglary - Commercial,II,Burglary,05063,107
Initial Supplement,"Battery, Of A Police Officer",Simple Assault,IS,Assault,04154,106
Initial,Vandalism or Graffiti on or within 100 ft of Highway,Vandalism,II,Malicious Mischief,28164,105
Initial,"Arson, Attempted",Arson,II,Arson,26029,104
Initial Supplement,"Theft, From Locked Vehicle, <$50",Larceny - From Vehicle,IS,Larceny Theft,06241,104
Initial Supplement,"Theft, From Building, <$50",Larceny Theft - From Building,IS,Larceny Theft,06301,104
Vehicle Supplement,Carjacking with a Gun,Robbery - Carjacking,VS,Robbery,03081,103
Initial,"Burglary, Warehouse, Att. Forcible Entry",Burglary - Commercial,II,Burglary,05062,103
Initial Supplement,"Theft, Other Property, $50-$200",Larceny Theft - Other,IS,Larceny Theft,06372,103
Initial,"Driving While Under The Influence Of Alcohol, w/Injury",Liquor Law Violation,II,Other Miscellaneous,65056,103
Vehicle Initial,"Vehicle, Rental, Failure to Return",Embezzlement,VI,Embezzlement,07056,102
Vehicle Initial,"Vehicle, Recovered, Motorcycle",Recovered Vehicle,VI,Recovered Vehicle,07043,102
Initial,"Theft, Trick & Device, Misd.",Fraud,II,Fraud,10110,102
Initial,"Firearm, Carrying Loaded with Intent to Commit Felony",Weapons Offense,II,Weapons Carrying Etc,12166,101
Vehicle Supplement,"Stolen Property, Possession with Knowledge, Receiving",Stolen Property,VS,Stolen Property,11012,101
Initial Supplement,Suspicious Act Towards Female,Suspicious Occ,IS,Suspicious Occ,64060,99
Initial Supplement,"Vehicle, Stolen, Truck",Motor Vehicle Theft,IS,Motor Vehicle Theft,07025,99
Initial,"Flammable or Explosive Device, Possession",Other,II,Other Miscellaneous,26028,99
Initial,"Firearm, Discharging At An Inhabited Dwelling",Aggravated Assault,II,Assault,12026,98
Initial,Human Trafficking (A)-Commercial Sex Acts,"Human Trafficking, Commercial Sex Acts",II,"Human Trafficking (A), Commercial Sex Acts",13045,98
Initial Supplement,Probation Search,Other,IS,Warrant,62071,97
Initial,"Checks, Making or Uttering with Insufficient Funds",Fraud,II,Fraud,09030,97
Initial Supplement,"License Plate, Stolen",Theft From Vehicle,IS,Larceny Theft,71013,96
Initial Supplement,Gang Related (secondary only),Other,IS,Disorderly Conduct,19400,95
Initial,"Counterfeit Coins Or Notes, Possessing or Receiving",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09215,94
Initial,"Burglary, Apt Under Constr., Forcible Entry",Burglary - Residential,II,Burglary,05111,94
Initial Supplement,"Theft, From Person, $200-$950 (other than Pickpocket)",Larceny Theft - Other,IS,Larceny Theft,06153,94
Initial Supplement,Violation of Stay Away Order,Other,IS,Offences Against The Family And Children,15162,94
Initial Supplement,"Manslaughter, Vehicular",Manslaughter,IS,Homicide,01160,93
Initial Supplement,"Robbery, W/ Other Weapon",Robbery - Other,IS,Robbery,03073,93
Initial Supplement,"Vehicle, Stolen, Motorcycle",Motor Vehicle Theft,IS,Motor Vehicle Theft,07023,92
Initial Supplement,"Robbery, Att., W/ Force",Robbery - Other,IS,Robbery,03474,91
Initial Supplement,"Robbery, Chain Store, W/ Force",Robbery - Commercial,IS,Robbery,03044,90
Initial,"Burglary, Apt Under Constr., Unlawful Entry",Burglary - Residential,II,Burglary,05113,90
Initial Supplement,"Theft, Vehicle Strip, >$950",Larceny - Auto Parts,IS,Larceny Theft,06234,89
Initial Supplement,"Firearm, Discharging at Occupied Bldg, Vehicle, or Aircraft",Aggravated Assault,IS,Assault,04082,89
Initial Supplement,Threat or Force to Resist Executive Officer,Intimidation,IS,Other Miscellaneous,27171,88
Initial,"Robbery, Residence, W/ Force",Robbery - Commercial,II,Robbery,03054,88
Initial Supplement,"Robbery, W/ Knife",Robbery - Other,IS,Robbery,03072,88
Initial Supplement,"Vehicle, Tampering",Vandalism,IS,Vandalism,07100,87
Initial,Suicide By Strangulation/Hanging,Suicide,II,Suicide,60190,87
Initial,"Robbery, Att., Chain Store, W/ Force",Robbery - Commercial,II,Robbery,03444,87
Initial,"Theft, Bicycle, Att.",Larceny Theft - Bicycle,II,Larceny Theft,06310,87
Initial Supplement,"Burglary, Residence, Att. Forcible Entry",Burglary - Residential,IS,Burglary,05042,86
Initial,"Robbery, Comml. Establ. W/ Weapon",Robbery - Commercial,II,Robbery,03023,86
Initial Supplement,"Firearm, Turned In by Public",Non-Criminal,IS,Non-Criminal,73010,86
Initial Supplement,Looting during State of Emergency,Larceny Theft - Other,IS,Larceny Theft,06383,85
Initial,"Suicide, Attempted",Suicide,II,Suicide,60010,85
Initial,"Robbery, Chain Store, W/ Gun",Robbery - Commercial,II,Robbery,03041,84
Initial Supplement,Property for Identification,Non-Criminal,IS,Non-Criminal,73000,83
Initial Supplement,"Driving, Reckless",Other,IS,Other Miscellaneous,65020,83
Initial,"Controlled Substance Violation, Loitering for",Drug Violation,II,Drug Offense,16645,83
Initial,"License Plate, Recovered",Other Offenses,II,Other Offenses,71012,83
Initial,"Sex Offender Failure to Register, Transient Violation",,II,,14022,82
Initial,Firearm with Altered Identification,Weapons Offense,II,Other Miscellaneous,27122,82
Initial,"False Claims, Presenting to Government",Fraud,II,Fraud,09173,82
Initial Supplement,"Theft, Shoplifting, <$50",Larceny Theft - Shoplifting,IS,Larceny Theft,06361,82
Initial,"Robbery, Comml. Establ. W/ A Knife",Robbery - Commercial,II,Robbery,03022,82
Initial Supplement,"License Plate, Recovered",Other Offenses,IS,Other Offenses,71012,81
Initial Supplement,"Battery, Sexual",Simple Assault,IS,Assault,04144,81
Initial Supplement,"Stay Away Order Violation, DVU related",Other,IS,Offences Against The Family And Children,15151,81
Initial Supplement,Fire Report,Fire Report,IS,Fire Report,68000,81
Initial,"Hallucinogenic,  Possession For Sale",Drug Violation,II,Drug Offense,16420,80
Initial Supplement,"Drugs, Under Influence  in a Public Place",Drug Violation,IS,Disorderly Conduct,19095,79
Initial,"Aided Case, Sick Person",Other,II,Non-Criminal,64030,79
Initial,Peddling Without A License,Other,II,Other Offenses,30130,77
Initial,"Weapon, Deadly, Carrying with Intent to Commit Assault",Weapons Offense,II,Weapons Carrying Etc,12167,77
Initial,Loitering Without Lawful Business With Owner or Occupant,Loitering,II,Other Miscellaneous,27198,77
Initial Supplement,"Theft, Other Property, <$50",Larceny Theft - Other,IS,Larceny Theft,06371,76
Initial Supplement,"Theft, From Unlocked Vehicle, $200-$950",Larceny - From Vehicle,IS,Larceny Theft,06223,76
Initial Supplement,False Personation and Cheat Crimes (general),Fraud,IS,Fraud,09026,76
Initial Supplement,"Access Card Information, Theft of",Fraud,IS,Fraud,09164,76
Initial,"Burglary, Flat, Att. Forcible Entry",Burglary - Residential,II,Burglary,05022,76
Initial Supplement,"Vehicle, Stolen, Other Vehicle",Motor Vehicle Theft,IS,Motor Vehicle Theft,07026,76
Initial,Federal Law Violation (general),Other,II,Other Offenses,31000,76
Initial Supplement,"Malicious Mischief, Graffiti, Real or Personal Property",Vandalism,IS,Malicious Mischief,28165,75
Initial Supplement,"Driving, Stunt Vehicle/Street Racing",,IS,,65021,74
Initial,"Burglary, Safe, Other",Burglary - Other,II,Burglary,05271,74
Initial,"Robbery, Att., Street or Public Place, W/ Other Weapon",Robbery - Street,II,Robbery,03413,73
Initial Supplement,"Firearm, Armed While Possessing Controlled Substance",Drug Violation,IS,Drug Violation,16780,73
Vehicle Initial,"Stolen Property, Possession with Knowledge, Receiving",Stolen Property,VI,Stolen Property,11012,73
Initial Supplement,Controlled Substance Offense,Drug Violation,IS,Drug Offense,16660,73
Initial Supplement,Stalking,Stalking,IS,Offences Against The Family And Children,15201,73
Initial,"Weapon, Deadly, Possession W/ Intent To Assault",Weapons Offense,II,Weapons Offense,12060,73
Initial Supplement,"Checks, Blank or Forged, Fraudulent Possession",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09150,72
Initial Supplement,"Burglary, Hot Prowl, Att. Forcible Entry",Burglary - Hot Prowl,IS,Burglary,05082,72
Initial,Defrauding Gas Station/Taxi Driver,Other,II,Other Offenses,30030,72
Initial Supplement,"Warrant Arrest, Enroute To Parole",Warrant,IS,Warrant,62030,72
Initial Supplement,"Identification To Peace Officer, False",Fraud,IS,Other Miscellaneous,27065,72
Initial,"Alcohol, License Required To Sell",Liquor Law Violation,II,Liquor Laws,17020,72
Initial Supplement,Arson of Vehicle,Arson,IS,Arson,26031,71
Initial,"Robbery,  ATM, Force.",Robbery - Other,II,Robbery,03094,71
Initial,"Embezzlement, Petty Theft By Employee",Embezzlement,II,Embezzlement,10040,71
Initial Supplement,"Theft, Lost Property, Petty",Larceny Theft - Other,IS,Larceny Theft,27090,71
Initial Supplement,"Robbery, Att., Street or Public Place, W/ Force",Robbery - Street,IS,Robbery,03414,70
Initial Supplement,"Checks, False, Making, Uttering or Possessing",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09020,70
Initial Supplement,Incident On School Grounds,Other,IS,Disorderly Conduct,19089,70
Initial,"Rape, Forcible, W/ Force",Rape,II,Rape,02004,69
Initial Supplement,"Burglary, Other Bldg., Att. Forcible Entry",Burglary - Other,IS,Burglary,05072,69
Initial Supplement,"Credit Application, Fraudulent",Fraud,IS,Fraud,09340,69
Initial,"Robbery, Att., Comm. Establ., W/ Force",Robbery - Commercial,II,Robbery,03424,69
Vehicle Initial,"Theft, Bicycle, >$950",Larceny Theft - Bicycle,VI,Larceny Theft,06314,68
Initial,"Public Transit, Acts Against",Other,II,Other Offenses,30180,68
Initial,Discharging Offensive or Injurious Substance in Public Area,Other Offenses,II,Other Offenses,68055,68
Initial,Post Release Community Supervision,Other,II,Warrant,62072,68
Initial,"License Plate, Stolen",Theft From Vehicle,II,Larceny Theft,71013,68
Initial Supplement,"Theft, Trick And Device, Felony",Fraud,IS,Fraud,10115,68
Initial,"Theft, From Person, Att. (other than Pickpocket)",Larceny Theft - Other,II,Larceny Theft,06150,68
Initial Supplement,"Robbery, Comml. Establ., W/ Force",Robbery - Commercial,IS,Robbery,03024,67
Initial,"Hallucinogenic, Sale",Drug Violation,II,Drug Offense,16430,67
