mapping_version,source_city,source_file,source_offense_code,source_offense_category,source_offense_description,source_auxiliary,source_severity,canonical_family_code,canonical_offense_family,canonical_subtype_code,canonical_offense_subtype,canonical_domain,canonical_target,is_criminal_event,is_violent,is_property,mapping_confidence,review_required,mapping_note,mapping_action,include_in_model,decision_basis,supporting_incident_rows,supporting_source_mappings,supporting_city_count
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,09A,,PC 71.02 Murder EOC/Murder 09A MURDER & NON-NEGLIG,,,F01,homicide,F01.03,murder_homicide,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13A,,PC 71.02 Organized Criminal Activity,,,F04,assault,F04.01,aggravated_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13C,,PC 71.02 Organized Criminal Activity,,,F06,intimidation_stalking,F06.01,intimidation_harassment,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,26B,,PC 71.02 Organized Criminal Activity,,,F12,fraud_financial,F12.06,fraud,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,35A,,PC 71.02 Organized Criminal Activity,,,F14,drug_offense,F14.02,drug_narcotic,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,35B,,PC 71.02 Organized Criminal Activity,,,F14,drug_offense,F14.01,drug_equipment,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 71.02 Organized Criminal Activity,,,F20,other_criminal,F20.07,conspiracy_organized_crime,other,unknown,true,false,false,high,false,"Resolved in v1.2 as conspiracy_organized_crime; cluster supports 4,625 incident rows across 24 source mappings.",map,true,new_substantial_cluster,4625,24,4
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,240,,PC 71.02 UUMV EOC/UUMV,,,F09,motor_vehicle_theft,F09.01,motor_vehicle_theft,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,240,,PC 71.02 UUMV EOC/UUMV 240 MOTOR VEHICLE THEFT 739,,,F09,motor_vehicle_theft,F09.01,motor_vehicle_theft,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 71.02(A) Engage Org Crim Activity,,,F20,other_criminal,F20.07,conspiracy_organized_crime,other,unknown,true,false,false,high,false,"Resolved in v1.2 as conspiracy_organized_crime; cluster supports 4,625 incident rows across 24 source mappings.",map,true,new_substantial_cluster,4625,24,4
