part_category,category,stat_desc,stat,row_count
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Unknown, Attempt",079,778
1,BURGLARY,"BURGLARY, RESIDENCE: Unknown, Attempt",069,768
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Kidnapping",326,704
2,FRAUD AND NSF CHECKS,WORTHLESS DOCUMENTS/FORGERY: NSF/Account Closed/Checks - Over $200,101,649
2,FRAUD AND NSF CHECKS,FRAUD: Computer System Crimes,115,649
2,DRUNK DRIVING VEHICLE / BOAT,DRUNK DRIVING - VEHICLE/BOAT: Alcohol at .08% Or Above,243,645
1,ARSON,ARSON: Single Occupancy Residential,270,644
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Day, Attempt",076,549
2,WEAPON LAWS,WEAPON LAWS: FIREARM W/NARCOTICS: Felony,155,533
2,FORGERY,WORTHLESS DOCUMENTS/FORGERY: Possess of Completed Checks/Money Order,106,533
2,NARCOTICS,NARCOTICS: Miscellaneous Felonies,187,506
2,LIQUOR LAWS,TOBACCO LAWS: Furnishing Tobacco to Minors,199,491
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Perjury",325,466
2,DISORDERLY CONDUCT,DISORDERLY CONDUCT: Peeping And/Or Prowling,216,447
2,DISORDERLY CONDUCT,DISORDERLY CONDUCT: Interfering W/School Activities,210,433
2,WARRANTS,WARRANTS: Warrant Service No Booking,287,425
1,LARCENY THEFT,"THEFT, PETTY: From Coin Operated Machine",388,421
1,LARCENY THEFT,VEHICLE BURGLARY: Attempt Truck/Cargo Van Burglary,343,419
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: False Report Bomb/Emergency",328,414
2,SEX OFFENSES FELONIES,SEX FELONIES: Pandering,124,412
2,LIQUOR LAWS,LIQUOR LAWS: Possession Of Alcohol By Minor,193,407
1,ROBBERY,"ROBBERY, WEAPON: Service Station",033,405
2,SEX OFFENSES MISDEMEANORS,SEX MISDEMEANORS: Engage/Solicit Lewd Or Obscene Conduct,133,398
2,FRAUD AND NSF CHECKS,FRAUD: Fraud By Trick Or Device - $400 Or Less,114,390
2,FRAUD AND NSF CHECKS,DEFRAUDING: Embezzlement (Misd),165,385
2,OFFENSES AGAINST FAMILY,"DEPENDENT ADULT ABUSE: MENTAL, PHYSICAL, FUDUCIARY",178,361
2,FORGERY,WORTHLESS DOCUMENTS/FORGERY: Forgery - Prescriptions,104,359
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: Cruelty To Animals",390,358
1,ARSON,"ARSON: Community/Public (Churches, Jails, Schools, Etc)",275,352
1,ARSON,"ARSON: Other Commercial (Stores, Restaurants, Etc)",274,350
2,NON-AGGRAVATED ASSAULTS,"ASSAULT, NON-AGG: Threat Public/School Official",147,344
1,FORCIBLE RAPE,"RAPE, FORCIBLE: Attempt Rape by Force, Female 18 YRS +",022,343
