pd_desc,row_count
THEFT OF SERVICES- CABLE TV SE,184
FALSE ALARM FIRE,178
"ROBBERY,ON BUS/ OR BUS DRIVER",170
"CHECK,BAD",163
"INCOMPETENT PERSON,KNOWINGLY ENDANGERING",163
"CONSPIRACY 2, 1",160
"LARCENY,PETIT FROM PIER",152
"INCOMPETENT PERSON,RECKLESSY ENDANGERING",149
"ROBBERY,CHECK CASHING BUSINESS",142
"CANNABIS SALE, 3",141
"ROBBERY,LIQUOR STORE",139
"PROSTITUTION 3,PROMOTING BUSIN",129
CRIM POS WEAP 4,128
"FIREWORKS, POSSESS/USE",125
POSSES OR CARRY A KNIFE,124
"NUISANCE,CRIMINAL,UNCLASSIFIED",115
KIDNAPPING 1,115
LURING A CHILD,113
"CONTROLLED SUBSTANCE,POSSESS.-",111
"STOLEN PROP-MOTOR VEHICLE 3RD,",111
ARSON 1,104
"ROBBERY,OF TRUCK DRIVER",102
"RECORDS,FALSIFY-TAMPER",102
"LARCENY,GRAND OF BOAT",95
"FACILITATION 4, CRIMINAL",93
MANUFACTURE UNAUTHORIZED RECOR,92
"LARCENY,PETIT FROM BOAT",91
USE OF A CHILD IN A SEXUAL PER,86
NEGLECT/POISON ANIMAL,84
"LOITERING,GAMBLING,OTHER",83
RIOT 1,80
"PARKR&R,UNCLASSIFIED VIOLATION",76
"LARCENY,GRAND FROM BOAT, UNATTENDED",76
EAVESDROPPING,74
"GAMBLING 1,PROMOTING,POLICY",71
UNLAWFUL POSS. WEAPON UPON SCH,71
SALE OF UNAUTHORIZED RECORDING,69
INAPPROPIATE SHELTER DOG LEFT,68
"CONSPIRACY 4, 3",67
MONEY LAUNDERING 1 & 2,67
END WELFARE VULNERABLE ELDERLY PERSON,66
"CANNABIS SALE, 2&1",66
STALKING COMMIT SEX OFFENSE,63
TERRORISM PROVIDE SUPPORT,61
TAMPERING WITH A WITNESS,61
"OBSCENITY, PERFORMANCE 3",60
"PERJURY 2,1,ETC",60
"STOLEN PROPERTY 2,POSSESSION B",57
"GENERAL BUSINESS LAW,TICKET SP",51
"BRIBERY,COMMERCIAL",51
SEX CRIMES,51
"PERJURY 3,ETC.",46
"GAMBLING 1,PROMOTING,BOOKMAKIN",44
UNLAWFUL SALE SYNTHETIC MARIJUANA,44
CONFINING ANIMAL IN VEHICLE/SHELTER,41
"HEALTH CODE,UNCLASSIFIED MISDE",40
"GAMBLING 2, PROMOTING, POLICY-",39
AIRPOLLUTION,39
"MISCHIEF 1,CRIMINAL,EXPLOSIVE",37
"RADIO DEVICES,UNLAWFUL POSSESS",37
"NUISANCE, CRIMINAL",35
"CHILD,OFFENSES AGAINST,UNCLASS",34
"DIS. CON.,AGGRAVATED",32
CANNABIS SALE,31
"HOMICIDE, NEGLIGENT, VEHICLE,",31
DOG STEALING,29
"PEDDLING,UNLAWFUL",28
"ROBBERY,HIJACKING",27
"OBSCENITY, MATERIAL 3",27
FIREARMS LICENSING LAWS,27
"LARCENY,PETIT FROM PARKING MET",26
"HEALTH CODE,VIOLATION",25
"PRIVACY,OFFENSES AGAINST,UNCLA",25
"ROBBERY,DOCTOR/DENTIST OFFICE",24
"PROSTITUTION,PERMITTING",24
SALES OF PRESCRIPTION,23
"BRIBERY,FRAUD",23
"FACILITATION 3,2,1, CRIMINAL",22
HEALTHCARE/RENT.REG.,22
"PROSTITUTION 4,PROMOTING&SECUR",21
APPEARANCE TICKET FAIL TO RESP,21
UNFINSH FRAME 2,20
"PUBLIC HEALTH LAW,GLUE,UNLAWFU",19
"CONSPIRACY 6, 5",18
POSS METH MANUFACT MATERIAL,18
"SOLICITATION 3,2,1, CRIMINAL",18
"CIGARETTE,NO TAX STAMP,POSSESS",16
"GAMBLING 2, PROMOTING, BOOKMAK",15
"SOLICITATION 5,CRIMINAL",14
POSTING ADVERTISEMENTS,14
GENERAL BUSINESS LAW / UNCLASSIFIED,13
ABSCONDING FROM WORK RELEASE 2,13
EDUCATION LAW,13
"NOISE,UNECESSARY",13
"DRUG, INJECTION OF",13
PLACE FALSE BOMB,12
ENTERPRISE CORRUPTION,12
"PROSTITUTION 2, COMPULSORY",12
SALE SCHOOL GROUNDS,12
"LARCENY,PETIT OF BOAT",12
INCEST 3,11
"SOLICITATION 4, CRIMINAL",11
"CREDIT CARD,UNLAWFUL USE OF",11
"LOITERING,UNCLASSIFIED",11
BUILDING MATERIAL,10
"LARCENY, PETIT OF AUTO - ATTEM",10
"PROSTITUTION 3, PROMOTING UNDE",10
LOITERING TO PROMOTE PROSTITUT,10
BREED/TRAIN/HOST ANIMAL FIGHTING,10
ATTEND/SPECTATOR ANIMAL FIGHTING,9
"TRAFFIC,UNCLASSIFIED INFRACTIO",9
"PROSTITUTION 2, UNDER 16",9
"A.B.C.,FALSE PROOF OF AGE",9
AGGRAVATED GRAND LARCENY OF ATM,8
GRAFFITI (ADMINISTRATIVE CODE-,8
"EDUCATION LAW,UNCLASSIFIED",8
SMOKING TRANSPORTATION FACILIT,8
FORTUNE TELLING,7
"HOMICIDE,NEGLIGENT,VEHICLE",7
"LABOR LAW,EMPLOYING CHILDREN",7
DISSEMINATING A FALSE SEX OFFEND,6
POSSESS PARAPHERNALIA/ANIMAL FIGHTING,6
BIGAMY,6
"CANNABIS SALE, AGGRAVATED",5
ABORTION 1,4
WEAPONS DISPOSITION OF,4
"PROSTITUTION 1, UNDER 11",4
"PARK R&R,GAMBLING",4
FIREWORKS,4
"PROSTITUTION, PATRONIZING 2, 1",3
"USURY,CRIMINAL",3
FIREWORKS PREV CONV 5 YEARS,3
LABOR TRAFFICKING,3
POSSESSION ANTI-SECURITY ITEM,3
"WEAPONS,MFR,TRANSPORT,ETC.",2
"LARCENY,PETIT OF TRUCK",2
GYPSY CAB,2
UNDER THE INFLUENCE OF DRUGS,2
"EDUCATION LAW,STREET TRADE",2
PROMOTING SUICIDE ATTEMPT,2
"MARRIAGE,OFFENSES AGAINST,UNCL",2
"EDUCATION LAW, TRUANCY",2
FAC. SEXUAL OFFENSE W/CONTROLL,2
CRIM USE BIO OR CHEM WEAPON,1
"USURIOUS RECORDS,POSSESSION",1
AIR POLLUTION-MOTOR VEH (ADM C,1
"EXHIBITION,OFFENSIVE",1
HIND PROSEC. TERR 2,1
ENVIRONMENTAL CONTROL BOARD,1
LOITERING FOR PROSTITUTION OR,1
LOITERING 1ST DEGREE FOR DRUG,1
"INCEST 1, 2",1
"WEAPONS,PROHIBITED USE",1
