incident_description,row_count
"Permit Violation, Police (general)",24
"Sexual Assault, Administering Drug to Commit",24
"House of Prostitution, Keeping or Residing in",23
"Robbery, Att., Comm. Establ. With Other Weapon",23
"Identification, Government, Possess, Make or Sell False",23
"Alcohol, Unlawful Transportation Of",23
"School or Playground, Loitering About",22
"Suicide By Strangulation/Hanging, Att.",22
"Robbery, Att., Chain Store, W/ Knife",22
"Sex Offender, Misc. Investigation",22
"Animal, without Proper Care or Attention",22
"Robbery,  ATM, Other Weapon",22
"Dog, Barking",22
"Vehicle, Recovered, Bus",21
"Burglary, Hotel Under Constr., Unlawful Entry",21
"Destructive Device, Possession",21
"Shooting, Accidental",21
Auto Impounded,21
"Throwing Object at Common Carrier, Passenger or Freight",21
"Stolen Computer, Possession",21
"Vehicle, Stolen, Bus",21
"Assault, Aggravated, On Police Officer, W/ Knife",21
"Robbery, Residence, W/ Knife",21
Kidnapping during Carjacking,21
"Rape, Att., W/ Force",20
"Embezzlement, Grand Theft Leased Property",20
"Robbery, Att., Chain Store, W/ Gun",20
Maintain Premise Where Narcotics Are Sold/used,19
Business Inspection- 2805 CVC,19
Accessory or Aid Or Harbor Felon,19
"Fireworks, Throw at Person or Discharge in Crowd",19
Phone Calls in Violation of DVU Court Order,19
"Theft, Boat",17
"Counterfeit/Forgery, Poss Drivers Lic Or Id Card",17
"Permit Violation, Entertainment",17
Amphetamines Offense,17
Unemployment Insurance Act Violation,17
"Embezzlement, Grand Theft By Brokers/Agents",17
Public Transit Crimes - Infractions,17
"Weapon, Possessing in Public Building or Open Meeting",17
"Assault, Att. Mayhem, W/ Other Weapon",17
"Prescription, Forge Or Alter (11368 H&S)",17
"Rail Transit, Entering, Remaining, or Hindering Operation of",16
"Indecent Exposure, W/ Prior Conviction",16
"Amphetamine, Possession For Sale",16
"Suicide By Jumping, Att.",16
"Assault, Att. Mayhem, W/ Knife",16
Assault on School Employee,15
"Burglary, Apt Under Constr., Att. Forcible",15
"Theft, Motorcycle Strip, $200-$950",15
Sales of Cocaine Base/Schoolyard Trafficking Act Violation,15
"Burglary, Hotel Under Constr., Forcible Entry",15
Assault to Commit Mayhem or Specific Sex Offenses,15
"Loitering, Obstructing",15
"Robbery, Att., Bank, W/ Gun",15
"Theft, Coin Operated Machine, $200-$950",14
Riot,14
"Opium, Possession For Sale",14
"Robbery, Att., Residence, W/ Force",14
Opium Offense,14
Suicide By Laceration/Stabbing,14
