description,crime_code,weapon,row_count
KIDNAPPING,100,MOTOR_VEHICLE_VESSEL,3
HOMICIDE,09A,POISON,3
LARCENY FROM AUTO,23F,ASPHYXIATION,3
INTIMIDATION,13C,FIREARM,3
HUMAN TRAFFICKING,64B,"",3
SEX OFFENSES,36A,"",3
ROBBERY - CARJACKING,120,AUTOMATIC_RIFLE,3
SHOPLIFTING,23C,MOTOR_VEHICLE_VESSEL,3
STOLEN PROPERTY,280,FIREARM,3
ARSON,200,KNIFE_CUTTING_INSTRUMENT,3
RAPE,11B,BLUNT_OBJECT,3
RAPE,11A,AUTOMATIC_HANDGUN,3
INTIMIDATION,13C,UNKNOWN,3
FRAUD,26E,FIREARM,3
AUTO THEFT,240,RIFLE,2
LARCENY FROM AUTO,23F,MOTOR_VEHICLE_VESSEL,2
ANIMAL CRUELTY,720,PERSONAL_WEAPONS,2
RAPE,11A,OTHER,2
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,UNKNOWN,2
BURGLARY,220,RIFLE,2
VANDALISM,290,POISON,2
ARSON,200,HANDGUN,2
ROBBERY - COMMERCIAL,120,FIRE_INCENDIARY_DEVICE,2
LARCENY,23D,UNKNOWN,2
SEX OFFENSES,11D,FIREARM,2
LARCENY,23D,FIRE_INCENDIARY_DEVICE,2
FRAUD,26E,UNKNOWN,2
ROBBERY - CARJACKING,120,ASPHYXIATION,2
RAPE,11C,UNKNOWN,2
PORNOGRAPHY,370,PERSONAL_WEAPONS,2
ROBBERY - COMMERCIAL,120,ASPHYXIATION,2
ROBBERY - COMMERCIAL,120,AUTOMATIC_FIREARM,2
BURGLARY,220,FIRE_INCENDIARY_DEVICE,2
INTIMIDATION,13C,ASPHYXIATION,2
LARCENY,23H,AUTOMATIC_HANDGUN,2
AGG. ASSAULT,13A,AUTOMATIC_SHOTGUN,2
LARCENY,23D,MOTOR_VEHICLE_VESSEL,2
PROSTITUTION,40C,"",2
FRAUD,250,PERSONAL_WEAPONS,2
FRAUD,26B,FIREARM,2
STOLEN PROPERTY,280,MOTOR_VEHICLE_VESSEL,2
LARCENY,23H,AUTOMATIC_FIREARM,2
KIDNAPPING,100,OTHER,2
