ucr_offense_description,nibrs_crime_category,hate_crime_description,nibrs_crime_against,nibrs_crime,offense_type,nibrs_type,nibrs_code,family_offense,nibrs_group,row_count
,PORNOGRAPHY/ OBSCENE MATERIAL,None,SOCIETY,PORNOGRAPHY/ OBSCENE MATERIAL,,Coded,370,false,A,60
,ROBBERY,Unknown,PROPERTY,ROBBERY-INDIVIDUAL,,Coded,120,false,A,59
FOUND PROPERTY,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,,C,59
FRAUD,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,false,A,59
,ASSAULT OFFENSES,None,PERSON,SIMPLE ASSAULT,,Coded,13B,,A,58
FORGERY & COUNTERFEIT,,Unknown,,,PART2,,,false,,58
EMBEZZLEMENT,EMBEZZELMENT,Unknown,PROPERTY,EMBEZZELMENT,PART2,Coded,270,false,A,56
DRUNK & DISORDERLY,PUBLIC INTOXICATION,Unknown,SOCIETY,PUBLIC INTOXICATION,PART2,90E - No Coded,90E,false,B,56
,EXTORTION/ BLACKMAIL,None,PROPERTY,EXTORTION/ BLACKMAIL,,Coded,210,false,A,55
DRUNK & DISORDERLY,,Unknown,,,PART2,,,false,,55
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,NOT CODED,No Coded,23G,false,A,54
,ARSON,None,PROPERTY,ARSON,,No Coded,200,false,A,52
SUDDEN DEATH,,,,,NOT CODED,,,false,,52
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF BUILDING,,No Coded,23D,,A,51
THEFT,,,,,PART1,,,,,51
,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-RESIDENCE,,Coded,220,false,A,51
,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,,Coded,220,,A,50
ASSAULT,ASSAULT OFFENSES,Unknown,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,49
,,None,,,,NNCode,,,,48
OTHER OFFENSES,"FAMILY OFFENSES, NONVIOLENT",None,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",PART2,90F - No Coded,90F,false,B,47
,FRAUD OFFENSES,,PROPERTY,CREDIT CARD/ ATM FRAUD,,Coded,26B,,A,47
OCCUPATIONAL ACCIDENT,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,47
AGGRAVATED ASSAULT,,None,,,NOT CODED,,,false,,46
MURDER,HOMICIDE OFFENSES,Unknown,PERSON,MURDER & NONNEGLIGENT MANSLAUGHTER,PART1,Coded,09A,false,A,46
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,SHOPLIFTING,PART1,Coded,23C,false,A,45
OTHER OFFENSES,DISORDERLY CONDUCT,None,SOCIETY,DISORDERLY CONDUCT,PART2,90C - No Coded,90C,false,B,44
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF COIN-OPERATED MACHINE OR DEVICE,,Coded,23E,,A,44
,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,,Not Coded,13C,false,A,42
ASSAULT,DRIVING UNDER THE INFLUENCE,None,SOCIETY,DUI,PART2,90D - No Coded,90D,false,B,42
MOTOR VEHICLE ACCIDENT,ALL OTHER OFFENSES,None,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,false,B,42
ACCIDENTAL INJURY,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,40
ROBBERY,ROBBERY,Unknown,PROPERTY,ROBBERY-BUSINESS,PART1,Coded,120,false,A,40
,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,,Coded,23G,false,A,39
BURGLARY,,Unknown,,,NOT CODED,,,false,,39
,LARCENY/ THEFT OFFENSES,,PROPERTY,THEFT FROM MOTOR VEHICLE,,Coded,23F,,A,38
,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,,Coded,13A,,A,38
NO UCR REPORTABLE OFFENSE,TRAFFIC VIOLATION - NON HAZARDOUS,None,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - NON HAZARDOUS,NOT CODED,999 - No Coded,999,false,C,38
,LARCENY/ THEFT OFFENSES,,PROPERTY,ALL OTHER LARCENY,,Coded,23H,,A,36
ASSAULT,ASSAULT OFFENSES,Unknown,PERSON,AGG ASSAULT - NFV,PART2,Coded,13A,false,A,36
,PUBLIC INTOXICATION,Unknown,SOCIETY,PUBLIC INTOXICATION,,90E - No Coded,90E,false,B,34
FORGERY & COUNTERFEIT,COUNTERFEITING / FORGERY,Unknown,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,false,A,33
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,,A,33
,ASSAULT OFFENSES,,PERSON,AGG ASSAULT - NFV,,Coded,13A,,A,33
,ARSON,Unknown,PROPERTY,ARSON,,Coded,200,false,A,33
,FRAUD OFFENSES,None,PROPERTY,CREDIT CARD/ ATM FRAUD,,No Coded,26B,false,A,32
WEAPONS,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,PART1,Coded,520,false,A,32
,FRAUD OFFENSES,None,PROPERTY,WELFARE FRAUD,,Coded,26D,false,A,31
,BURGLARY/ BREAKING & ENTERING,,PROPERTY,BURGLARY-BUSINESS,,Coded,220,,A,30
LIQUOR,,None,,,PART2,,,false,,30
DISORDERLY CONDUCT,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,PART2,Not Coded,13C,false,A,30
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Unknown,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,No Coded,290,false,A,30
,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - FV,,Coded,13A,false,A,30
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,,PROPERTY,UUMV,PART1,Not Coded,240,,A,29
,FRAUD OFFENSES,None,PROPERTY,IDENTITY THEFT,,Coded,26F,,A,29
,EMBEZZELMENT,None,PROPERTY,EMBEZZELMENT,,No Coded,270,,A,28
AGGRAVATED ASSAULT,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,NOT CODED,Coded,13A,false,A,27
,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG EQUIPMENT VIOLATIONS,,No Coded,35B,false,A,27
CRIMINAL MISCHIEF/VANDALISM,,,,,PART2,,,,,26
,ROBBERY,None,PROPERTY,SHOPLIFT CONTACT,,Coded,120,false,A,26
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT OF COIN-OPERATED MACHINE OR DEVICE,PART1,Coded,23E,false,A,26
,ROBBERY,None,PROPERTY,SHOPLIFT CONTACT,,No Coded,120,false,A,26
,ROBBERY,None,PROPERTY,ROBBERY-BUSINESS,,No Coded,120,,A,26
BURGLARY,,,,,PART1,,,,,26
,ROBBERY,None,PROPERTY,ROBBERY-BUSINESS,,Coded,120,,A,26
,ALL OTHER OFFENSES,,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,,90Z - No Coded,90Z,,B,26
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT FROM MOTOR VEHICLE,NOT CODED,No Coded,23F,false,A,25
STOLEN PROPERTY OFFENSES,STOLEN PROPERTY OFFENSES,None,PROPERTY,STOLEN PROPERTY OFFENSES,PART2,Coded,280,false,A,25
,ASSAULT OFFENSES,,PERSON,INTIMIDATION,,Coded,13C,,A,25
,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,,Not Coded,13C,,A,25
SUDDEN DEATH,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,24
,BURGLARY/ BREAKING & ENTERING,,PROPERTY,BURGLARY-RESIDENCE,,Coded,220,,A,23
FRAUD,FRAUD OFFENSES,Unknown,PROPERTY,IMPERSONATION,PART2,Coded,26C,false,A,23
,TRESPASS OF REAL PROPERTY,Unknown,SOCIETY,TRESPASS OF REAL PROPERTY,,90J - No Coded,90J,false,B,22
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,NOT CODED,Coded,23G,false,A,22
OTHER OFFENSES,FRAUD OFFENSES,None,PROPERTY,IMPERSONATION,PART2,Coded,26C,false,A,22
ROBBERY,ROBBERY,None,PROPERTY,ROBBERY-INDIVIDUAL,NOT CODED,Coded,120,false,A,21
AGGRAVATED ASSAULT,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,PART2,Coded,13A,false,A,21
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,POCKET-PICKING,PART1,Coded,23A,false,A,21
FRAUD,FRAUD OFFENSES,Unknown,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,Coded,26A,false,A,20
,EMBEZZELMENT,None,PROPERTY,EMBEZZELMENT,,No Coded,270,false,A,20
ROBBERY,ROBBERY,Unknown,PROPERTY,ROBBERY-INDIVIDUAL,NOT CODED,No Coded,120,false,A,20
NARCOTICS/DRUGS,,Unknown,,,PART2,,,false,,20
FAIL TO ID,ALL OTHER OFFENSES,None,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,false,B,19
,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,,COD,13A,false,A,19
INTOXICATION MANSLAUGHTER,DRIVING UNDER THE INFLUENCE,None,SOCIETY,DUI,PART2,90D - No Coded,90D,false,B,18
FIREARMS ACCIDENT,,Unknown,,,NOT CODED,,,false,,18
ASSAULT,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,PART2,Not Coded,13C,false,A,18
,ASSAULT OFFENSES,,PERSON,SIMPLE ASSAULT,,Coded,13B,,A,17
AUTO THEFT - UUMV,,,,,PART1,,,,,17
NARCOTICS/DRUGS,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,false,A,17
FRAUD,FRAUD OFFENSES,None,PROPERTY,IMPERSONATION,PART2,No Coded,26C,false,A,17
HOME ACCIDENT,,Unknown,,,NOT CODED,,,false,,16
NO UCR REPORTABLE OFFENSE,TRAFFIC VIOLATION - HAZARDOUS,None,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,NOT CODED,999 - No Coded,999,false,C,16
AUTO THEFT - UUMV,,,,,PART1,,,false,,16
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,SHOPLIFTING,NOT CODED,No Coded,23C,false,A,16
FRAUD,FRAUD OFFENSES,Unknown,PROPERTY,CREDIT CARD/ ATM FRAUD,PART2,Coded,26B,false,A,16
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF COIN-OPERATED MACHINE OR DEVICE,,No Coded,23E,,A,16
,FRAUD OFFENSES,,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,,Coded,26A,,A,15
,DRIVING UNDER THE INFLUENCE,Unknown,SOCIETY,DUI,,90D - No Coded,90D,false,B,15
THEFT,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,PART1,Not Coded,240,false,A,15
ROBBERY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,15
THEFT,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,PART1,Coded,240,false,A,15
GAMBLING,,None,,,PART2,,,false,,15
OTHER OFFENSES,ALL OTHER OFFENSES,Unknown,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,false,B,15
,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,No Coded,35A,,A,15
,ANIMAL OFFENSES,None,SOCIETY,ANIMAL CRUELTY,,No Coded,720,false,A,14
OTHER OFFENSES,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,PART2,Not Coded,13C,false,A,14
,ASSAULT OFFENSES,Anti Asian/Pacific Islander,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,14
GAMBLING,GAMBLING OFFENSES,None,SOCIETY,OPERATING/ PROMOTING/ ASSISTING GAMBLING,PART2,Coded,39B,false,A,14
ASSAULT,"FAMILY OFFENSES, NONVIOLENT",None,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",PART2,90F - No Coded,90F,false,B,14
BURGLARY,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-BUSINESS,NOT CODED,No Coded,220,false,A,13
MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,NOT CODED,Coded,240,false,A,13
AGGRAVATED ASSAULT,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,13
,ASSAULT OFFENSES,Anti Black Or African American,PERSON,INTIMIDATION,,Coded,13C,false,A,13
MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,NOT CODED,Not Coded,240,false,A,13
,ASSAULT OFFENSES,Anti Homosexual (Gays and Lesbians),PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,13
CRIMINAL MISCHIEF/VANDALISM,,Anti White,,,PART2,,,false,,13
,BRIBERY,None,PROPERTY,BRIBERY,,Coded,510,false,A,13
KIDNAPPING/ABDUCTION,,None,,,PART1,,,false,,13
,PORNOGRAPHY/ OBSCENE MATERIAL,None,SOCIETY,PORNOGRAPHY/ OBSCENE MATERIAL,,No Coded,370,false,A,12
,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,,Not Coded,13A,false,A,12
,COUNTERFEITING / FORGERY,,PROPERTY,COUNTERFEITING / FORGERY,,Coded,250,,A,12
ASSAULT,,Anti Black Or African American,,,PART2,,,false,,12
AUTO THEFT - UUMV,,Unknown,,,NOT CODED,,,false,,12
FAIL TO ID,,None,,,PART2,,,false,,12
,ROBBERY,None,PROPERTY,ROBBERY-INDIVIDUAL,,Coded,120,,A,12
OTHER OFFENSES,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,PART2,No Coded,35A,false,A,12
,STOLEN PROPERTY OFFENSES,None,PROPERTY,STOLEN PROPERTY OFFENSES,,Coded,280,,A,12
OTHER OFFENSES,,,,,PART2,,,,,12
OTHER OFFENSES,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,false,A,12
OTHER OFFENSES,TRESPASS OF REAL PROPERTY,Unknown,SOCIETY,TRESPASS OF REAL PROPERTY,PART2,90J - No Coded,90J,false,B,11
INTOXICATION MANSLAUGHTER,,None,,,PART2,,,false,,11
THEFT,LARCENY/ THEFT OFFENSES,,PROPERTY,ALL OTHER LARCENY,PART1,Coded,23H,,A,11
,ARSON,None,PROPERTY,ARSON,,Coded,200,,A,11
DWI,,Unknown,,,PART2,,,false,,11
THEFT,,,,,PART1,,,false,,10
EMBEZZLEMENT,,,,,PART2,,,,,10
THEFT,,,,,NOT CODED,,,,,10
ASSAULT,,,,,PART2,,,,,10
,ASSAULT OFFENSES,Anti Jewish,PERSON,INTIMIDATION,,Coded,13C,false,A,10
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Unknown,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,No Coded,290,false,A,10
BURGLARY,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-RESIDENCE,NOT CODED,No Coded,220,false,A,10
WEAPONS,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,PART2,No Coded,520,false,A,10
,EXTORTION/ BLACKMAIL,None,PROPERTY,EXTORTION/ BLACKMAIL,,Coded,210,,A,10
,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,,Coded,520,,A,9
,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,SHOPLIFTING,,Coded,23C,false,A,9
,ASSAULT OFFENSES,Anti Homosexual (Gays and Lesbians),PERSON,INTIMIDATION,,Coded,13C,false,A,9
NARCOTICS/DRUGS,DRUG/ NARCOTIC VIOLATIONS,Unknown,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,PART2,Coded,35A,false,A,9
,FRAUD OFFENSES,None,PROPERTY,WIRE FRAUD,,No Coded,26E,false,A,9
AUTO THEFT - UUMV,,Anti White,,,PART1,,,false,,9
CRIMINAL MISCHIEF/VANDALISM,,Anti Homosexual (Gays and Lesbians),,,PART2,,,false,,9
ROBBERY,,,,,PART1,,,,,9
NARCOTICS/DRUGS,,,,,PART2,,,,,9
ASSAULT,,Anti White,,,PART2,,,false,,9
CRIMINAL MISCHIEF/VANDALISM,,Anti Black Or African American,,,PART2,,,false,,9
OTHER OFFENSES,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,PART2,999 - No Coded,999,false,C,9
ANIMAL CRUELTY,ANIMAL OFFENSES,None,SOCIETY,ANIMAL CRUELTY,PART2,Coded,720,false,A,9
,PEEPING TOM,None,SOCIETY,PEEPING TOM,,90H - No Coded,90H,false,B,9
AGGRAVATED ASSAULT,,,,,PART1,,,,,9
THEFT,,Anti White,,,PART1,,,false,,8
OTHER OFFENSES,ASSAULT OFFENSES,Unknown,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,8
DISORDERLY CONDUCT,FRAUD OFFENSES,None,PROPERTY,IMPERSONATION,PART2,Coded,26C,false,A,8
NARCOTICS/DRUGS,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,Coded,26A,false,A,8
HOME ACCIDENT,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,8
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,NOT CODED,Coded,240,false,A,8
,FRAUD OFFENSES,None,PROPERTY,WELFARE FRAUD,,Coded,26D,,A,8
ANIMAL BITE,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,PART2,999 - No Coded,999,false,C,8
ARSON,ARSON,None,PROPERTY,ARSON,PART2,No Coded,200,false,A,8
ROBBERY,ROBBERY,None,PROPERTY,ROBBERY-INDIVIDUAL,PART1,No Coded,120,false,A,8
KIDNAPPING/ABDUCTION,KIDNAPPING/ ABDUCTION,None,PERSON,KIDNAPPING/ ABDUCTION,PART1,Coded,100,false,A,8
FORGERY & COUNTERFEIT,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,PART2,No Coded,250,false,A,8
,LARCENY/ THEFT OFFENSES,None,PROPERTY,POCKET-PICKING,,No Coded,23A,false,A,8
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,PURSE-SNATCHING,PART1,Coded,23B,false,A,8
,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT OF BUILDING,,Coded,23D,false,A,7
THEFT,LARCENY/ THEFT OFFENSES,,PROPERTY,THEFT FROM MOTOR VEHICLE,PART1,Coded,23F,,A,7
ASSAULT,ASSAULT OFFENSES,Unknown,PERSON,INTIMIDATION,PART2,Not Coded,13C,false,A,7
,ASSAULT OFFENSES,Anti Male Homosexual (Gay),PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,7
ASSAULT,,Anti Homosexual (Gays and Lesbians),,,PART2,,,false,,7
,ASSAULT OFFENSES,Anti Hispanic,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,7
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,NOT CODED,Coded,220,false,A,7
,ASSAULT OFFENSES,Anti Transgender,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,7
,ROBBERY,,PROPERTY,ROBBERY-INDIVIDUAL,,Coded,120,,A,7
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Homosexual (Gays and Lesbians),PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,7
OTHER OFFENSES,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,Coded,26A,false,A,7
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,PART1,No Coded,220,false,A,7
,ROBBERY,Unknown,PROPERTY,ROBBERY-BUSINESS,,No Coded,120,false,A,7
,TRESPASS OF REAL PROPERTY,None,SOCIETY,TRESPASS OF REAL PROPERTY,,90J - No Coded,90J,,B,7
,ASSAULT OFFENSES,Anti Black Or African American,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,7
,ROBBERY,Unknown,PROPERTY,ROBBERY-BUSINESS,,Coded,120,false,A,7
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Black Or African American,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,7
CRIMINAL MISCHIEF/VANDALISM,ALL OTHER OFFENSES,,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,,B,7
,GAMBLING OFFENSES,None,SOCIETY,BETTING/ WAGERING,,No Coded,39A,false,A,7
,EMBEZZELMENT,Unknown,PROPERTY,EMBEZZELMENT,,Coded,270,false,A,7
,DISORDERLY CONDUCT,Unknown,SOCIETY,DISORDERLY CONDUCT,,90C - No Coded,90C,false,B,7
FRAUD,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,No Coded,26A,false,A,7
,COUNTERFEITING / FORGERY,Unknown,PROPERTY,COUNTERFEITING / FORGERY,,Coded,250,false,A,7
ASSAULT,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,PART2,Not Coded,13A,false,A,6
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,PART1,No Coded,23F,false,A,6
FRAUD,FRAUD OFFENSES,None,PROPERTY,IDENTITY THEFT,PART2,No Coded,26F,false,A,6
DWI,DRIVING UNDER THE INFLUENCE,Unknown,SOCIETY,DUI,PART2,90D - No Coded,90D,false,B,6
WEAPONS,,Unknown,,,PART2,,,false,,6
BURGLARY,BURGLARY/ BREAKING & ENTERING,,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,,A,6
OTHER OFFENSES,,Anti White,,,PART2,,,false,,6
,FRAUD OFFENSES,None,PROPERTY,IMPERSONATION,,No Coded,26C,false,A,6
ASSAULT,ASSAULT OFFENSES,,PERSON,SIMPLE ASSAULT,PART2,Coded,13B,,A,6
AGGRAVATED ASSAULT,ASSAULT OFFENSES,,PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,,A,6
,LARCENY/ THEFT OFFENSES,None,PROPERTY,PURSE-SNATCHING,,No Coded,23B,false,A,6
,ASSAULT OFFENSES,None,PERSON,SIMPLE ASSAULT,,Not Coded,13B,false,A,6
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,NOT CODED,Not Coded,240,false,A,6
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Black Or African American,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,6
,MISCELLANEOUS,Anti White,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,6
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Jewish,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,6
DISORDERLY CONDUCT,DISORDERLY CONDUCT,Unknown,SOCIETY,DISORDERLY CONDUCT,PART2,90C - No Coded,90C,false,B,6
,ASSAULT OFFENSES,None,PERSON,SIMPLE ASSAULT,,COD,13B,false,A,6
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Multi-Racial Group,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,6
FRAUD,,,,,PART2,,,,,6
CRIMINAL MISCHIEF/VANDALISM,,Anti Jewish,,,PART2,,,false,,6
,ASSAULT OFFENSES,Anti Black Or African American,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,5
,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT FROM MOTOR VEHICLE,,No Coded,23F,false,A,5
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Unknown,PERSON,AGG ASSAULT - NFV,NOT CODED,Coded,13A,false,A,5
,ASSAULT OFFENSES,Anti Male Homosexual (Gay),PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,5
CRIMINAL MISCHIEF/VANDALISM,,Anti Hispanic,,,PART2,,,false,,5
DISORDERLY CONDUCT,,Anti White,,,PART2,,,false,,5
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,NOT CODED,No Coded,23G,false,A,5
ASSAULT,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,PART2,COD,13C,false,A,5
,ROBBERY,Unknown,PROPERTY,ROBBERY-INDIVIDUAL,,No Coded,120,false,A,5
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Male Homosexual (Gay),PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,5
,HUMAN TRAFFICKING,None,PERSON,"HUMAN TRAFFICKING, COMMERCIAL SEX ACTS",,Coded,64A,false,A,5
,LARCENY/ THEFT OFFENSES,,PROPERTY,THEFT OF BUILDING,,Coded,23D,,A,5
,CURFEW/ LOITERING/ VAGRANCY VIOLATIONS,None,SOCIETY,CURFEW/ LOITERING/ VAGRANCY VIOLATIONS,,90B - No Coded,90B,false,B,5
,ASSAULT OFFENSES,Anti Hispanic,PERSON,INTIMIDATION,,Coded,13C,false,A,5
,FRAUD OFFENSES,Unknown,PROPERTY,IDENTITY THEFT,,Coded,26F,false,A,5
,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG EQUIPMENT VIOLATIONS,,Coded,35B,,A,5
ANIMAL BITE,,Unknown,,,PART2,,,false,,5
AGGRAVATED ASSAULT,,Anti Black Or African American,,,PART1,,,false,,5
AGGRAVATED ASSAULT,,None,,,PART2,,,false,,5
WEAPONS,WEAPON LAW VIOLATIONS,Unknown,SOCIETY,WEAPON LAW VIOLATIONS,PART2,Coded,520,false,A,5
ASSAULT,,Anti Male Homosexual (Gay),,,PART2,,,false,,5
FRAUD,FRAUD OFFENSES,None,PROPERTY,CREDIT CARD/ ATM FRAUD,PART2,No Coded,26B,false,A,5
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,PART1,Coded,240,,A,5
,FRAUD OFFENSES,,PROPERTY,IDENTITY THEFT,,Coded,26F,,A,5
,ASSAULT OFFENSES,Anti Male Homosexual (Gay),PERSON,INTIMIDATION,,Coded,13C,false,A,5
ASSAULT,DRIVING UNDER THE INFLUENCE,,SOCIETY,DUI,PART2,90D - No Coded,90D,,B,4
