ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT BY DISHONEST EMP",0,7
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,MENACING 1ST DEGREE (VICT PEAC,0,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,PUBLIC BUILDING,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,OTHER,RESIDENCE-HOUSE,RECKLESS ENDANGERMENT OF PROPE,97,7
ADMINISTRATIVE CODE,VIOLATION,(null),N.Y. POLICE DEPT,STREET,POSSES OR CARRY A KNIFE,0,7
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,STORE UNCLASSIFIED,"CONTROLLED SUBSTANCE, SALE 5",0,7
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,TUNNEL,CRIMINAL CONTEMPT 1,0,7
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,(null),"LARCENY,PETIT BY ACQUIRING LOS",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,HOMELESS SHELTER,"LARCENY,PETIT BY DISHONEST EMP",0,7
POSSESSION OF STOLEN PROPERTY,FELONY,(null),N.Y. STATE POLICE,STREET,"STOLEN PROPERTY-MOTOR VEH 2ND,",11,7
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,RESTAURANT/DINER,"ROBBERY,CAR JACKING",0,7
DANGEROUS DRUGS,FELONY,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"CONTROLLED SUBSTANCE, SALE 4",2,7
DANGEROUS WEAPONS,MISDEMEANOR,INSIDE,OTHER,PUBLIC SCHOOL,"WEAPONS, POSSESSION, ETC",97,7
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STREET,MATERIAL              OFFENSIV,0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,ATM,"LARCENY,GRAND FROM PERSON,UNCL",0,7
BURGLAR'S TOOLS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CONSTRUCTION SITE,"BURGLARS TOOLS,UNCLASSIFIED",0,7
ROBBERY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,OTHER,"ROBBERY,POCKETBOOK/CARRIED BAG",0,7
MISCELLANEOUS PENAL LAW,FELONY,REAR OF,OTHER,RESIDENCE-HOUSE,RECKLESS ENDANGERMENT 1,97,7
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,STREET,PETIT LARCENY OF ANIMAL,0,7
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,BANK,"ROBBERY,NECKCHAIN/JEWELRY",0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,REAR OF,N.Y. POLICE DEPT,GYM/FITNESS FACILITY,"MISCHIEF, CRIMINAL 3 & 2, OF M",0,7
HARRASSMENT 2,VIOLATION,(null),N.Y. POLICE DEPT,CEMETERY,"HARASSMENT,SUBD 3,4,5",0,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,GROCERY/BODEGA,"MENACING,UNCLASSIFIED",0,7
SEX CRIMES,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,SODOMY 3,0,7
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,CHURCH,"BURGLARY,UNCLASSIFIED,UNKNOWN",0,7
ROBBERY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"ROBBERY,HOME INVASION",0,7
ROBBERY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,(null),"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,7
BURGLAR'S TOOLS,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,(null),"BURGLARS TOOLS,UNCLASSIFIED",1,7
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"CONTROLLED SUBSTANCE,SALE 3",0,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),MTA POLICE DEPT,(null),ASSAULT 3,17,7
SEX CRIMES,MISDEMEANOR,(null),N.Y. POLICE DEPT,COMMERCIAL BUILDING,"SEXUAL ABUSE 3,2",0,7
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,CLOTHING/BOUTIQUE,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,ATM,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",0,7
OFFENSES AGAINST THE PERSON,MISDEMEANOR,(null),NYC PARKS,PARK/PLAYGROUND,RECKLESS ENDANGERMENT 2,88,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,MAILBOX INSIDE,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,SMALL MERCHANT,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,7
SEX CRIMES,FELONY,INSIDE,HEALTH & HOSP CORP,HOSPITAL,SEXUAL ABUSE,14,7
THEFT-FRAUD,FELONY,FRONT OF,N.Y. POLICE DEPT,(null),"FRAUD,UNCLASSIFIED-FELONY",0,7
OFFENSES RELATED TO CHILDREN,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,EDUCATION LAW,0,7
GRAND LARCENY,FELONY,REAR OF,N.Y. POLICE DEPT,GROCERY/BODEGA,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,7
RAPE,FELONY,(null),N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),RAPE 1,0,7
HARRASSMENT 2,VIOLATION,(null),N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,"HARASSMENT,SUBD 1,CIVILIAN",0,7
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PHOTO/COPY,AGGRAVATED HARASSMENT 2,0,7
OTHER STATE LAWS,FELONY,(null),N.Y. POLICE DEPT,TUNNEL,"NY STATE LAWS,UNCLASSIFIED FEL",0,7
CHILD ABANDONMENT/NON SUPPORT,FELONY,INSIDE,N.Y. POLICE DEPT,OTHER,CHILD ABANDONMENT,0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,BOOK/CARD,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",0,7
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,PUBLIC BUILDING,"BRIBERY, POLICE OFFICER",0,7
