ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,DEPARTMENT STORE,"MENACING,UNCLASSIFIED",0,1
CANNABIS RELATED OFFENSES,VIOLATION,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,CANNABIS POSSESSION,0,1
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,MOBILE FOOD,"BURGLARY,COMMERCIAL,UNKNOWN TI",0,1
KIDNAPPING & RELATED OFFENSES,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,(null),KIDNAPPING 2,0,1
OTHER STATE LAWS (NON PENAL LAW),MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,"NY STATE LAWS,UNCLASSIFIED MIS",0,1
SEX CRIMES,MISDEMEANOR,(null),N.Y. POLICE DEPT,COMMERCIAL BUILDING,"OBSCENITY, PERFORMANCE 3",0,1
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,SYNAGOGUE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",0,1
DANGEROUS DRUGS,FELONY,(null),OTHER,OTHER,"CONTROLLED SUBSTANCE,POSSESS.",97,1
MISCELLANEOUS PENAL LAW,FELONY,(null),N.Y. POLICE DEPT,SYNAGOGUE,RECKLESS ENDANGERMENT 1,0,1
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,MARINA/PIER,BAIL JUMPING 3,0,1
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,BRIDGE,"TRESPASS 1,CRIMINAL",0,1
DANGEROUS DRUGS,MISDEMEANOR,INSIDE,N.Y.C. DEPT OF PROBATION,RESIDENCE - APT. HOUSE,"CONTROLLED SUBSTANCE, POSSESSI",52,1
HARRASSMENT 2,VIOLATION,(null),HEALTH & HOSP CORP,STREET,"HARASSMENT,SUBD 3,4,5",14,1
GRAND LARCENY,FELONY,FRONT OF,PORT AUTHORITY,CLOTHING/BOUTIQUE,"LARCENY,GRAND FROM STORE-SHOPL",3,1
DANGEROUS WEAPONS,MISDEMEANOR,OPPOSITE OF,MTA POLICE DEPT,(null),"WEAPONS, POSSESSION, ETC",17,1
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,GYM/FITNESS FACILITY,"ROBBERY,NECKCHAIN/JEWELRY",0,1
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. POLICE DEPT,CLOTHING/BOUTIQUE,"PUBLIC ADMINISTATION,UNCLASS M",0,1
ROBBERY,FELONY,REAR OF,OTHER,OTHER,"ROBBERY,PERSONAL ELECTRONIC DEVICE",97,1
HARRASSMENT 2,VIOLATION,INSIDE,DEPT OF CORRECTIONS,FAST FOOD,"HARASSMENT,SUBD 1,CIVILIAN",72,1
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,SHOE,RESISTING ARREST,0,1
ROBBERY,FELONY,REAR OF,MTA POLICE DEPT,OTHER,"ROBBERY,OPEN AREA UNCLASSIFIED",17,1
THEFT-FRAUD,FELONY,REAR OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),"THEFT,RELATED OFFENSES,UNCLASS",0,1
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,MTA POLICE DEPT,HOMELESS SHELTER,BAIL JUMPING 3,17,1
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. POLICE DEPT,COLLEGE/UNIVERSITY,"MISCHIEF, CRIMINAL 3&2, BY FIR",0,1
PETIT LARCENY,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,OTHER,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",1,1
ADMINISTRATIVE CODE,VIOLATION,(null),N.Y. TRANSIT POLICE,OTHER,"ALCOHOLIC BEVERAGES,PUBLIC CON",1,1
ARSON,FELONY,FRONT OF,NYC PARKS,STORE UNCLASSIFIED,"ARSON 2,3,4",88,1
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,COLLEGE/UNIVERSITY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",0,1
OTHER OFFENSES RELATED TO THEFT,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DRUG STORE,"THEFT OF SERVICES, UNCLASSIFIE",0,1
GRAND LARCENY,FELONY,INSIDE,MTA POLICE DEPT,DRUG STORE,"LARCENY,GRAND FROM PERSON,UNCL",17,1
OTHER STATE LAWS,FELONY,INSIDE,N.Y. POLICE DEPT,STORE UNCLASSIFIED,TAX LAW,0,1
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,FRONT OF,MTA POLICE DEPT,STREET,LEAVING SCENE-ACCIDENT-PERSONA,17,1
GRAND LARCENY,FELONY,REAR OF,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,GRAND BY ACQUIRING LOS",0,1
CRIMINAL TRESPASS,MISDEMEANOR,FRONT OF,DEPT OF CORRECTIONS,DEPARTMENT STORE,"TRESPASS 3, CRIMINAL",72,1
ROBBERY,FELONY,REAR OF,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"ROBBERY,BEGIN AS SHOPLIFTING",0,1
GRAND LARCENY,FELONY,(null),PORT AUTHORITY,PARKING LOT/GARAGE (PUBLIC),"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",3,1
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,VARIETY STORE,MATERIAL              OFFENSIV,0,1
DANGEROUS WEAPONS,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,(null),CRIMINAL DISPOSAL FIREARM 1,0,1
PETIT LARCENY,MISDEMEANOR,(null),PORT AUTHORITY,OTHER,"LARCENY,PETIT OF BICYCLE",3,1
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,PORT AUTHORITY,BUS (NYC TRANSIT),OBSTR BREATH/CIRCUL,3,1
CRIMINAL TRESPASS,MISDEMEANOR,OPPOSITE OF,MTA POLICE DEPT,STREET,"TRESPASS 2, CRIMINAL",17,1
DANGEROUS DRUGS,FELONY,FRONT OF,N.Y. POLICE DEPT,CHURCH,"CONTROLLED SUBSTANCE, SALE 5",0,1
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,(null),MTA POLICE DEPT,STREET,LEAVING SCENE-ACCIDENT-PERSONA,17,1
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,GYM/FITNESS FACILITY,OBSTR BREATH/CIRCUL,0,1
PETIT LARCENY,MISDEMEANOR,INSIDE,DEPT OF CORRECTIONS,DEPARTMENT STORE,"LARCENY,PETIT FROM STORE-SHOPL",72,1
SEX CRIMES,MISDEMEANOR,(null),N.Y. STATE PARKS,PARK/PLAYGROUND,"CHILD, ENDANGERING WELFARE",12,1
FRAUDS,MISDEMEANOR,(null),N.Y. POLICE DEPT,SYNAGOGUE,"IMPERSONATION 2, PUBLIC SERVAN",0,1
FRAUDS,MISDEMEANOR,REAR OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"FRAUD,UNCLASSIFIED-MISDEMEANOR",2,1
GRAND LARCENY,FELONY,INSIDE,METRO NORTH,GYM/FITNESS FACILITY,"LARCENY,GRAND BY THEFT OF CREDIT CARD",15,1
FRAUDS,MISDEMEANOR,INSIDE,HEALTH & HOSP CORP,HOSPITAL,"FRAUD,UNCLASSIFIED-MISDEMEANOR",14,1
OTHER STATE LAWS (NON PENAL LA,MISDEMEANOR,(null),N.Y. POLICE DEPT,BUS STOP,"PUBLIC HEALTH LAW,UNCLASSIFIED",0,1
OTHER OFFENSES RELATED TO THEF,MISDEMEANOR,OPPOSITE OF,N.Y. HOUSING POLICE,TAXI (YELLOW LICENSED),"THEFT OF SERVICES, UNCLASSIFIE",2,1
DANGEROUS DRUGS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,TAXI/LIVERY (UNLICENSED),"MARIJUANA, POSSESSION 4 & 5",0,1
ARSON,FELONY,INSIDE,OTHER,PARKING LOT/GARAGE (PUBLIC),"ARSON, MOTOR VEHICLE 1 2 3 & 4",97,1
ROBBERY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,GROCERY/BODEGA,"ROBBERY,OPEN AREA UNCLASSIFIED",0,1
GRAND LARCENY OF MOTOR VEHICLE,FELONY,INSIDE,N.Y. STATE POLICE,PARKING LOT/GARAGE (PRIVATE),"LARCENY, GRAND OF AUTO - ATTEM",11,1
THEFT-FRAUD,FELONY,INSIDE,PORT AUTHORITY,BANK,"FRAUD,UNCLASSIFIED-FELONY",3,1
DANGEROUS DRUGS,MISDEMEANOR,OPPOSITE OF,TRI-BORO BRDG TUNNL,TUNNEL,"CONTROLLED SUBSTANCE, POSSESSI",4,1
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,HOTEL/MOTEL,"BURGLARY, TRUCK UNKNOWN TIME",0,1
(null),MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DRY CLEANER/LAUNDRY,"NUISANCE,CRIMINAL,UNCLASSIFIED",0,1
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,CONSTRUCTION SITE,"ROBBERY,RESIDENTIAL COMMON AREA",0,1
ALCOHOLIC BEVERAGE CONTROL LAW,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,ALCOHOLIC BEVERAGE CONTROL LAW,0,1
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,OTHER,COMMERCIAL BUILDING,RECKLESS ENDANGERMENT 1,97,1
DANGEROUS DRUGS,MISDEMEANOR,REAR OF,NYC PARKS,PARK/PLAYGROUND,"MARIJUANA, POSSESSION 4 & 5",88,1
GRAND LARCENY OF MOTOR VEHICLE,FELONY,(null),N.Y. POLICE DEPT,PARK/PLAYGROUND,"LARCENY, GRAND OF AUTO - ATTEM",0,1
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,COLLEGE/UNIVERSITY,FALSE ALARM FIRE,0,1
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,HEALTH & HOSP CORP,PUBLIC BUILDING,MENACING 1ST DEGREE (VICT PEAC,14,1
HARRASSMENT 2,VIOLATION,REAR OF,PORT AUTHORITY,BUS TERMINAL,"HARASSMENT,SUBD 1,CIVILIAN",3,1
BURGLARY,FELONY,REAR OF,N.Y. POLICE DEPT,GROCERY/BODEGA,"BURGLARY,RESIDENCE,NIGHT",0,1
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,HOSPITAL,"LARCENY,GRAND BY DISHONEST EMP",0,1
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"LARCENY,GRAND BY OPEN BANK ACCT",0,1
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,PETIT LARCENY-CHECK FROM MAILB,0,1
DANGEROUS DRUGS,FELONY,INSIDE,PORT AUTHORITY,OTHER,"CONTROLLED SUBSTANCE,SALE 3",3,1
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,OPPOSITE OF,AMTRACK,STREET,AGGRAVATED HARASSMENT 2,7,1
DANGEROUS DRUGS,MISDEMEANOR,INSIDE,NEW YORK CITY SHERIFF OFFICE,PUBLIC BUILDING,"MARIJUANA, POSSESSION 4 & 5",87,1
MISCELLANEOUS PENAL LAW,FELONY,REAR OF,N.Y. POLICE DEPT,OTHER,MENACING 1ST DEGREE (VICT NOT,0,1
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,METRO NORTH,CLOTHING/BOUTIQUE,"LARCENY,PETIT FROM STORE-SHOPL",15,1
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,STORAGE FACILITY,"BURGLARY, TRUCK UNKNOWN TIME",0,1
ROBBERY,FELONY,REAR OF,N.Y. POLICE DEPT,TUNNEL,"ROBBERY,DELIVERY PERSON",0,1
MISCELLANEOUS PENAL LAW,VIOLATION,FRONT OF,N.Y. POLICE DEPT,CONSTRUCTION SITE,"MARIJUANA, POSSESSION",0,1
PETIT LARCENY,MISDEMEANOR,INSIDE,METRO NORTH,CANDY STORE,"LARCENY,PETIT FROM STORE-SHOPL",15,1
PETIT LARCENY,MISDEMEANOR,(null),N.Y. STATE PARKS,PARK/PLAYGROUND,"LARCENY,PETIT BY FALSE PROMISE",12,1
NYS LAWS-UNCLASSIFIED FELONY,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,BREED/TRAIN/HOST ANIMAL FIGHTING,0,1
ROBBERY,FELONY,INSIDE,PORT AUTHORITY,DRUG STORE,"ROBBERY,POCKETBOOK/CARRIED BAG",3,1
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"LARCENY,PETIT BY DISHONEST EMP",0,1
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,(null),METRO NORTH,TRANSIT FACILITY (OTHER),"LEWDNESS,PUBLIC",15,1
DANGEROUS WEAPONS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,BUS TERMINAL,"WEAPONS, POSSESSION, ETC",0,1
ROBBERY,FELONY,REAR OF,N.Y. POLICE DEPT,PUBLIC BUILDING,"ROBBERY,CLOTHING",0,1
POSSESSION OF STOLEN PROPERTY,MISDEMEANOR,FRONT OF,U.S. PARK POLICE,OTHER,"STOLEN PROPERTY 3,POSSESSION",13,1
GRAND LARCENY,FELONY,INSIDE,HEALTH & HOSP CORP,HOSPITAL,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",14,1
CRIMINAL TRESPASS,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,VARIETY STORE,"TRESPASS 3, CRIMINAL",0,1
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,U.S. PARK POLICE,PARK/PLAYGROUND,CRIMINAL CONTEMPT 1,13,1
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),N.Y. POLICE DEPT,GAS STATION,OBSTR BREATH/CIRCUL,0,1
GRAND LARCENY OF MOTOR VEHICLE,FELONY,REAR OF,N.Y. POLICE DEPT,CEMETERY,"LARCENY,GRAND OF AUTO",0,1
PETIT LARCENY,MISDEMEANOR,FRONT OF,HEALTH & HOSP CORP,HOSPITAL,"LARCENY,PETIT BY ACQUIRING LOS",14,1
CRIMINAL TRESPASS,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,OTHER,"TRESPASS 3, CRIMINAL",0,1
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,BUS (NYC TRANSIT),"ROBBERY,BEGIN AS SHOPLIFTING",0,1
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,DEPT OF CORRECTIONS,OTHER,"BRIBERY,FRAUD",72,1
ARSON,FELONY,OPPOSITE OF,OTHER,TUNNEL,"ARSON, MOTOR VEHICLE 1 2 3 & 4",97,1
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,GAS STATION,RECKLESS ENDANGERMENT OF PROPE,0,1
MISCELLANEOUS PENAL LAW,FELONY,(null),N.Y. POLICE DEPT,DRY CLEANER/LAUNDRY,AGGRAVATED HARASSMENT 1,0,1
BURGLARY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,CONSTRUCTION SITE,"BURGLARY,TRUCK NIGHT",0,1
FRAUDS,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,RESIDENCE-HOUSE,"IMPERSONATION 2, PUBLIC SERVAN",1,1
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,TUNNEL,"BURGLARY,COMMERCIAL,NIGHT",0,1
ROBBERY,FELONY,(null),LONG ISLAND RAILRD,STREET,"ROBBERY,PERSONAL ELECTRONIC DEVICE",6,1
DANGEROUS WEAPONS,MISDEMEANOR,OPPOSITE OF,PORT AUTHORITY,STREET,"WEAPONS, POSSESSION, ETC",3,1
ARSON,FELONY,INSIDE,N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,"ARSON 2,3,4",0,1
FORGERY,FELONY,FRONT OF,N.Y. POLICE DEPT,HOSPITAL,"FORGERY,M.V. REGISTRATION",0,1
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,U.S. PARK POLICE,STREET,RECKLESS ENDANGERMENT 1,13,1
CANNABIS RELATED OFFENSES,VIOLATION,(null),N.Y. POLICE DEPT,PARK/PLAYGROUND,CANNABIS POSSESSION,0,1
GRAND LARCENY,FELONY,(null),PORT AUTHORITY,CLOTHING/BOUTIQUE,"LARCENY,GRAND BY DISHONEST EMP",3,1
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"ROBBERY,BEGIN AS SHOPLIFTING",0,1
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),MENACING 1ST DEGREE (VICT PEAC,0,1
INTOXICATED/IMPAIRED DRIVING,FELONY,FRONT OF,TRI-BORO BRDG TUNNL,BRIDGE,"INTOXICATED DRIVING,ALCOHOL",4,1
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,OTHER HOUSE OF WORSHIP,"PUBLIC ADMINISTRATION,UNCLASSI",0,1
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,DRUG STORE,"LARCENY,PETIT BY FALSE PROMISE",0,1
HARRASSMENT 2,VIOLATION,OPPOSITE OF,N.Y. POLICE DEPT,FACTORY/WAREHOUSE,"HARASSMENT,SUBD 1,CIVILIAN",0,1
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DRUG STORE,"LARCENY,PETIT FROM COIN MACHIN",0,1
GRAND LARCENY,FELONY,INSIDE,PORT AUTHORITY,PRIVATE/PAROCHIAL SCHOOL,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",3,1
BURGLARY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,ABANDONED BUILDING,"BURGLARY,COMMERCIAL,DAY",0,1
FORGERY,FELONY,REAR OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"FORGERY,DRIVERS LICENSE",0,1
FELONY ASSAULT,FELONY,REAR OF,HEALTH & HOSP CORP,STREET,ASSAULT POLICE/PEACE OFFICER,14,1
BURGLARY,FELONY,INSIDE,PORT AUTHORITY,TRANSIT FACILITY (OTHER),"BURGLARY,COMMERCIAL,NIGHT",3,1
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",0,1
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,(null),OTHER,RESIDENCE - APT. HOUSE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",97,1
ADMINISTRATIVE CODE,VIOLATION,OPPOSITE OF,NYC PARKS,PARK/PLAYGROUND,IMITATION PISTOL/AIR RIFLE,88,1
CANNABIS RELATED OFFENSES,FELONY,INSIDE,N.Y. POLICE DEPT,STORE UNCLASSIFIED,"CANNABIS POSSESSION, 2&1",0,1
GRAND LARCENY,FELONY,FRONT OF,NYC PARKS,PARK/PLAYGROUND,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",88,1
GRAND LARCENY,FELONY,(null),N.Y. TRANSIT POLICE,BUS (NYC TRANSIT),"LARCENY,GRAND FROM PERSON,PICK",1,1
FRAUDS,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"FRAUD,UNCLASSIFIED-MISDEMEANOR",0,1
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,HOMELESS SHELTER,MENACING 1ST DEGREE (VICT NOT,0,1
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,VIDEO STORE,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,1
ROBBERY,FELONY,INSIDE,PORT AUTHORITY,TELECOMM. STORE,"ROBBERY,PUBLIC PLACE INSIDE",3,1
ROBBERY,FELONY,REAR OF,N.Y. POLICE DEPT,GROCERY/BODEGA,"ROBBERY,CLOTHING",0,1
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,AIRPORT TERMINAL,"LARCENY,PETIT FROM AUTO",0,1
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,TUNNEL,"CONTEMPT,CRIMINAL",0,1
CRIMINAL MISCHIEF & RELATED OF,FELONY,FRONT OF,PORT AUTHORITY,COMMERCIAL BUILDING,"MISCHIEF, CRIMINAL 3&2, BY FIR",3,1
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,BAR/NIGHT CLUB,USE OF A CHILD IN A SEXUAL PER,0,1
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PUBLIC BUILDING,"LARCENY,PETIT FROM PARKING MET",0,1
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,TELECOMM. STORE,SUPP. ACT TERR 2ND,0,1
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,(null),PORT AUTHORITY,HOTEL/MOTEL,AGGRAVATED HARASSMENT 2,3,1
DANGEROUS DRUGS,FELONY,REAR OF,N.Y. POLICE DEPT,GROCERY/BODEGA,"CONTROLLED SUBSTANCE,INTENT TO",0,1
ROBBERY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,"ROBBERY,DWELLING",0,1
KIDNAPPING,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,PUBLIC SCHOOL,LURING A CHILD,0,1
BURGLARY,FELONY,REAR OF,N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),"BURGLARY,UNCLASSIFIED,NIGHT",0,1
OFFENSES INVOLVING FRAUD,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,PUBLIC BUILDING,"FORGERY,ETC.-MISD.",0,1
OFFENSES AGAINST THE PERSON,MISDEMEANOR,(null),NYC PARKS,PARK/PLAYGROUND,"IMPRISONMENT 2,UNLAWFUL",88,1
KIDNAPPING,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,LURING A CHILD,0,1
CRIMINAL MISCHIEF & RELATED OF,FELONY,(null),N.Y. POLICE DEPT,TELECOMM. STORE,"MISCHIEF,CRIMINAL,    UNCL 2ND",0,1
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,VARIETY STORE,AGGRAVATED HARASSMENT 1,0,1
MISCELLANEOUS PENAL LAW,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,HOTEL/MOTEL,CRIMINAL CONTEMPT 1,0,1
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),"LARCENY,PETIT FROM STORE-SHOPL",0,1
MISCELLANEOUS PENAL LAW,FELONY,REAR OF,N.Y. POLICE DEPT,CLOTHING/BOUTIQUE,CRIMINAL CONTEMPT 1,0,1
FORGERY,FELONY,FRONT OF,N.Y. POLICE DEPT,BUS STOP,"FORGERY,M.V. REGISTRATION",0,1
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,CANDY STORE,LEAVING SCENE-ACCIDENT-PERSONA,0,1
PETIT LARCENY,MISDEMEANOR,INSIDE,NEW YORK CITY SHERIFF OFFICE,CLOTHING/BOUTIQUE,"LARCENY,PETIT FROM STORE-SHOPL",87,1
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",FELONY,REAR OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"HOMICIDE,NEGLIGENT,UNCLASSIFIE",2,1
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,CHECK CASHING BUSINESS,"LARCENY,GRAND FROM PERSON,UNCL",0,1
THEFT-FRAUD,FELONY,FRONT OF,OTHER,RESIDENCE-HOUSE,"FRAUD,UNCLASSIFIED-FELONY",97,1
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,SYNAGOGUE,"LARCENY,PETIT FROM BUILDING,UN",0,1
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. STATE POLICE,OTHER,"MISCHIEF, CRIMINAL 4, OF MOTOR",11,1
GRAND LARCENY,FELONY,INSIDE,OTHER,BAR/NIGHT CLUB,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",97,1
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,CHECK CASHING BUSINESS,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",0,1
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,OTHER,OTHER,BAIL JUMPING 3,97,1
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,REAR OF,HEALTH & HOSP CORP,OTHER,ASSAULT 3,14,1
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,CHURCH,"ROBBERY,OPEN AREA UNCLASSIFIED",0,1
ROBBERY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,CONSTRUCTION SITE,"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,1
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,ATM,"BURGLARY,COMMERCIAL,UNKNOWN TI",0,1
MISCELLANEOUS PENAL LAW,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"TRESPASS 1,CRIMINAL",0,1
OFFENSES INVOLVING FRAUD,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DRY CLEANER/LAUNDRY,"FORGERY,ETC.-MISD.",0,1
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,CLOTHING/BOUTIQUE,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,1
(null),MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"LEWDNESS,PUBLIC",0,1
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,TAXI/LIVERY (UNLICENSED),"LARCENY,PETIT BY DISHONEST EMP",0,1
CRIMINAL MISCHIEF & RELATED OF,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"MISCHIEF 1,CRIMINAL,EXPLOSIVE",1,1
OFFENSES INVOLVING FRAUD,MISDEMEANOR,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"BRIBERY,COMMERCIAL",2,1
ROBBERY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,BUS (NYC TRANSIT),"ROBBERY,ON BUS/ OR BUS DRIVER",0,1
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,"LARCENY,GRAND BY DISHONEST EMP",0,1
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,PETIT LARCENY-CHECK FROM MAILB,0,1
