report_summary_offense_description,report_primary_offense_description,report_summary_offense_code,report_primary_offense_code,event_type,row_count
,Selling Weapons,WEAPONLA,5214-0,General Offense,1
,Manslaughter,HOMICIDE,0999-3,General Offense,1
,Vehicular Murder/Manslaughter - Dv,VEHHOMI ,0909-1,General Offense,1
,Criminal Damage - Dv,EXPIRED ,2902-1,General Offense,1
,Possession of Forgery Tools,POSSTOOL,2508-0,General Offense,1
,Child/Adult Abuse-Sr Inj Ng,FAMILYOF,3801-0,General Offense,1
,Conservation,OTHER   ,6299-0,General Offense,1
,Void Citations/Warnings Only,OTHER   ,0011-0,General Offense,1
,Stolen Veh-Aircraft Theft,MOTORVEH,2410-0,General Offense,1
,Ifcc Complaints,OTHER   ,0008-1,General Offense,1
,Gang Related,OTHER   ,0009-0,General Offense,1
