nibrs_offense_code_description,nibrs_offense_code,nibrs_crime_against_category,offense_sub_category,offense_category,nibrs_group_a_b,shooting_type_group,row_count
Justifiable Homicide,09C,NOT_A_CRIME,JUSTIFIABLE HOMICIDE,ALL OTHER,A,Shooting (Fatal Injury),1
Justifiable Homicide,09C,NOT_A_CRIME,JUSTIFIABLE HOMICIDE,ALL OTHER,A,Shooting (Non-Fatal Injury),1
Rape,11A,PERSON,RAPE,VIOLENT CRIME,A,Shooting (Non-Fatal Injury),1
"Family Offenses, Nonviolent",90F,SOCIETY,NON-VIOLENT FAMILY OFFENSES,ALL OTHER,B,Shooting (Non-Fatal Injury),1
Intimidation,13C,PERSON,ASSAULT OFFENSES,ALL OTHER,A,Shooting (Non-Fatal Injury),1
Bribery,510,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),1
Negligent Manslaughter,09B,PERSON,HOMICIDE,VIOLENT CRIME,A,Shooting (Fatal Injury),1
False Pretenses/Swindle/Confidence Game,26A,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),1
Violation of No Contact Orders,500,PERSON,VIOLATION OF NO CONTACT ORDER,ALL OTHER,A,Shooting (Fatal Injury),1
Assisting or Promoting Prostitution,40B,SOCIETY,PROSTITUTION OFFENSES,ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),1
Animal Cruelty,720,SOCIETY,ANIMAL CRUELTY,ALL OTHER,A,Shooting (Non-Fatal Injury),1
Runaway,90I,NOT_A_CRIME,RUNAWAY,ALL OTHER,B,Shots Fired (Eyewitness/Casings/Property Damage),1
Intimidation,13C,PERSON,ASSAULT OFFENSES,ALL OTHER,A,Shooting (Fatal Injury),1
Arson,200,PROPERTY,ARSON,PROPERTY CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),1
Counterfeiting/Forgery,250,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,Shooting (Non-Fatal Injury),1
