iucr,description,fbi_code,primary_type,source_file_uri
031A,ARMED: HANDGUN,03,ROBBERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1365,TO RESIDENCE,26,CRIMINAL TRESPASS,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1811,POSS: CANNABIS 30GMS OR LESS,18,NARCOTICS,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0820,$500 AND UNDER,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0820,$500 AND UNDER,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0312,ARMED:KNIFE/CUTTING INSTRUMENT,03,ROBBERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0810,OVER $500,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0484,PRO EMP HANDS NO/MIN INJURY,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0820,$500 AND UNDER,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
2025,POSS: HALLUCINOGENS,18,NARCOTICS,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0860,RETAIL THEFT,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
